,.I,.T,.A,.W
15,16.0,adopt librari congress classif system,matthis ,manual design possibl chang effici congress detail outlin may serv exact model suggest step proven actual deal necessari criterion effect plan make prepar select tool esish procedur essenti re project beyond consider attent give mani problem area lc classif biographi law three pz four addit literatur tabl viiia ixa two frequent tabl entir class system thoroughli explain applic illustr seri comprehens exampl sinc mechan product cost catalogu card significantli affect flow user chapter devot describ use xerox copi machin librari oper final annot book articl judg help decid reclassifi includ reader wish delv deepli tortuou frustrat fifti year histori concept central catalog classif number enclos parenthes throughout text refer sourc bibliographi relat support argument advanc particular case
16,17.0,adventur librarianship,voigt ,long need continu seri scholarli rapidli chang field seri would select subject particular current signific profess analysi research practic plan design fill need present critic survey base publish literatur research progress type mechan may appear obviou front anship autom catch enthusiast support an visual potenti field certainli find everi volum seri first group volum demonstr technolog chang obviou direct implic find much complex simpl inventori mani expert expect advanc anship dedic present realiti autom ass go fast hope get machin catalog current statu machin produc book catalog lie ahead enter age marc busi method great applic progress easy report mechan acquisit process even area gener accept practic standard futur past one major immedi import computer catalog inform discus file system comput manipul detail review present complex problem suggest possibl solut mani year technic cost defend without adequ knowledg fact autom procedur propos standard determin cost tradit oper becom essenti standard cost show problem difficult review signific advanc past year school widen dimens materi much rapidli reflect new name instruct medium center technic chang togeth new teach method possibl major librari servic school well child public librari two make clear do demonstr remain make rule rather except bibliotherapi exampl field progress slow illustr potenti system theori manageri plan theori librari articl applic concept come research administr provoc may appear controversi articl librari develop develop countri provid analysi depth effort degre success assist countri provid librari servic import modern world
17,18.0,select dissemin inform,mauerhoff ,present contribut duplic previou studi complement earlier public close gap exist prior six addit bold attempt evalu critic object histori mechan select dissemin inform reflect literatur initi descript luhn fifti eight sixti b c post one thousand nine hundr seventi period boom begin lose ground popular line interact system review therefor question interpret concept sdi implement evolut light work perform mani compani govern agenc univers societi librari last fourteen year
18,19.0,adventur theori languag,herdan ,properti face problem find common thread would show mani multifari form embodi scatter paper write philosoph mathematician engin profession idiom belong great whole quantit stress peculiar convent put differ two type briefli latter compris gener number appli e g econom demographi former characteris paramet particularli describ evalu structur idea linguist use concept method adumbr author one thousand nine hundr fifti six take definit shape develop shall tri give brief account book choic chanc foundat lay truli sensibl applic languag interpret langu parol dichotomi essenti statist univers sampl
19,20.0,age jewett charl coffin jewett american librarianship one thousand eight hundr forti one one thousand eight hundr sixti eight,harris ,an mark begin modern find appear nation scene dynam controversi figur melvil dewey charl ammi cutter overlook extrem signific histori profess meet philadelphia character great advanc field librarianship period growth consider influenc cours librari develop america ignor third quarter nineteenth centuri risk misinterpret pivot post one thousand eight hundr seventi six era time reapprais seem particularli appropri use focu attent year preced found american librari associ
20,21.0,aggress,lorenz ,lorenz deal vertebr point total differ biolog necess defenc territori corner becom mix innat thu toward reduct intraspecif damag note evid fiercer predat like wolv pack virtual imposs co oper without fight necessari surviv wherea non social proverbi peac dive prevent escap lead violent often fatal attack weaker mate final chapter advanc suggest human speci evolut primarili cultur guid darwinian select strict sen drive may canal less danger channel man innumer way adapt ritual behavior mani analog homolog find anim event aggress fascin book master subject
21,22.0,educ manpow librarian,asheim ,paper offici american offic simpli explor outlin possibl consider purpos gener discuss lead eventu associ polici support make effect basic assumpt statement rest much broad segment respons definit supervis train requir complet rang encompass occup an person one concern advanc improv librari profess follow oblig engag activ establish mainten standard norm govern peopl work librari defin guid kind prepar use pre mere educ hold posit level call profession
22,23.0,pilot inventori librari hold,braden ,project undertaken degre uncertainti among staff regard extent problem find studi give ohio state univers concret evid mani miss great figur provid inform convey faculti administr voic complaint unavail librari book loss high also tend indic area frequent use
23,24.0,librari technolog forc affect,cuadra ,one mean kind forc concern two import concern think futur librari three kind technolog particularli import librari four technolog appli today five forese futur move toward year two thousand six anyth tomorrow tri get
24,25.0,algebra system,maltsev ,far back one thousand nine hundr twenti accept scienc studi properti defin particular oper howev forti overwhelm major ist investig mere kind structur primarili group ring lattic first gener theoret work deal arbitrari arbitrari oper due g birkhoff one thousand nine hundr thirti five year tarski publish import paper formul basic principl equip relat set call model contrast model make abund use apparatu mathemat logic possibl make fruit use logic studi univers also classic part group discov author one thousand nine hundr thirti six next twenti five year gradual becam clear univers model intim relat despit certain differ natur problem therefor meaning speak singl algebra system deal set defin seri oper relat algebra system formal apparatu theori languag call appli predic calculu thu theori consid border logic algebra
25,26.0,index abstract associ,doyle ,discus possibl exploit text purpos document retriev defin relat mental process author reader sever mean quantit measur occurr scrutin show strongli co occur word pair therefor statist sen repres form last half articl present two mode use associ map literatur search
26,27.0,cost analysi simul procedur evalu larg inform system,bourne  ford ,write year comput estim expect cost well amount equip personnel requir period larg prove use research tool studi mani compon interrel oper equival manual analysi would extrem cumbersom time consum perhap even impract paper describ program show exampl result simul two sever suggest design specif inform system
27,28.0,note pseudo mathemat relev,taube ,recent number articl book deal e retriev advanc evalu degre percentag although seem littl doubt quantifi nevertheless grow agreement fix formal relationship exist perform thu find literatur frankli notion report individu curv formul presum provid numer measur recal relev characterist inform system phenomenon shift back forth admittedli subject non equat give valu definit ancient parallel discus probabl one cours legisl depend alic point master user hand use singl term document cover two distinct mean especi usag design secur accept doctrin attribut mathemat valid repres seriou situat mere careless ambigu
28,29.0,question concern inform need,o connor ,express satisfi request often use mean literatur relat retriev suggest three differ though inconsist possibl howev interpret fundament unclear variou obscur involv indic critic question write inform need invit answer
29,30.0,vocabulari build control techniqu,wall ,rational give creation maintain inform center index retriev basic principl one natur languag two hospit new concept three provis adequ cross referenc four format easi terminalog necessari develop control use vocabulari summar appli convent construct thesauru describ computer edit updat techniqu briefli set forth
30,31.0,attend use scienc librari,bush  galliher  morse ,interim continu studi massachtt technolog member institut project cooper an staff report base actual observ premis make scienc variou statist degre intens use tabul addit suggest uniqu outcom survey construct verif mathemat employ probabl theori measur rate kind use materi togeth length stay librari patron model characterist oper research approach give promis further goal effect librari manag plan
31,32.0,inform gather pattern creativ studi research chemist industri research laboratori,maizell ,comparison research respect profession differ noncr former technic job reluct literatur great difficulti less influenc independ think read extens consult frequent old materi inquisit broad cultur interest find studi believ help plan librari servic refin futur inquiri way scientist use record inform improv test identif creativ abil among chemist
32,33.0,half life scientif technic literatur,kebler ,consider half life radioact substanc rate obsolesc valid analog suggest possibl accur prognost concern period time scientif literatur may use henc might help guid plan librari collect technic inform servic
33,34.0,keyword context index technic literatur kwic index,luhn ,distinct make bibliograph past base willing user trade perfect currenc give keyword context suitabl dissemin new entir machin gener henc keep date current literatur compat scheme index also propos element automat extract usual document code identifi yield maximum inform remain suscept normal method order
34,35.0,comparison four type lexic indic content,rath  resnick  savage ,experi conduct four type lexic content could best subject determin irrelev answer set one hundr question result indic major differ use abstract select relev document group util complet text obtain significantli high score examin
35,36.0,record use book yale medic librari,kilgour ,explor amount use book categori borrow yale medic librari view discov proport catalogu put machin form
36,37.0,world technic journal literatur estim volum origin languag field index abstract,bourne ,quantit estim make magnitud world scientif technic journal literatur problem use number basic sourc statist inform composit pictur establish show thing total volum linguist nation origin breakdown subject field degre coverag abstract index servic
37,38.0,machinelik index peopl,montgomery  swanson ,sever thousand classifi articl index medicu reveal larg proport entri contain ident word correspond subject head infer major part bibliographi studi could compil procedur oper titl alon provid machin suppli suitabl synonym dictionari
38,39.0,bibliograph coupl scientif paper,kessler ,report describ result automat process larg number scientif accord rigor defin coupl popul studi order satisfi state criterion interrel examin paper constitut group show high degre logic correl
39,40.0,worldwid censu scientif technic serial,desmond ,result censu scientif technic literatur within limit defin base examin publish sourc materi throughout world reflect titl much low estim popul show good fifti total divid among six major includ discus togeth broad subject distribut serial certain countri
40,41.0,new factor evalu scientif literatur citat index,sher ,one million scientif literatur process index project institut scientif inform project sponsor nsf nih describ briefli new method use data evalu public discus summari statist data compil comput method follow give one frequenc one journal anoth two frequenc current past literatur three frequenc self citat journal author four number sourc citat per cite paper five number refer per sourc paper six number paper publish per journal
41,42.0,notion relev,hillman ,analysi mutual queri collect indic essenti involv order consid later problem question format first discuss turn requir extension interpret suggest wherebi associ class document user similar provid empir data formal definit conceptu find howev certain gener difficulti rule possibl defin concept relate sinc method base human relev judgment seem natur one adopt collaps seriou practic theoret consequ altern approach therefor propos whose elabor form part ii articl
42,43.0,consist human judgment relev,savage ,comparison abil judg relev document gener interest citat keyword total control experiment condit result show one abl two consist independ particular base appar inconsist aris judgment make basi abstract remain unexplain experi well other concern human text materi leav unexplor basic problem provid metric scale evalu measur
43,44.0,distribut term usag manipul index,wall ,semi empir nine permit predict percentag manipul give document function number system log normal relationship similar zipf law exist total distribut term usag base upon correl optimum vocabulari size growth rate infer effici arrang index entri storag medium result agre well publish data appear particularli use design mechan retriev public oper
44,45.0,measur reliabl subject classif men machin,borko ,procedur measur consist document describ three subject specialist i nine hundr nineti seven abstract psycholog report one eleven categori abstract also mechan i comput program use factor score comput procedur abstract score categori assign one high score three manual classif compar mechan classif seri conting coeffici comput averag reliabl manual classif procedur equal eight hundr seventi correl automat manual classif seven hundr sixti six
45,46.0,quantit measur user circul requir possibl effect stack thin multipl copi determin,trueswell ,strategi outlin articl describ possibl aid librarian thin librari stack accord criterion need method use last circul date paramet circul requir result stack collect would design satisfi nineti nine percent circul requir yet minimum size preliminari yet fulli valid research indic number volum librari hold may reduc sixti seventi percent yet satisfi well nineti nine percent requir may also possibl determin book multipl copi order user disappoint minim effect result approach may quantit method maintain librari hold reason level addit reduct disappoint user unabl find book want use anoth
46,47.0,improv select citat index scienc literatur inclus citat relationship indic,lipetz ,larg bodi scienc often list far know user afford time look addit inform beyond minim associ could mean user select long list relev immedi search requir mean provid select discus particular attent give possibl ad short code entri would inform way public oper relat one method integr featur shepard legal scheme relationship potenti valu user scienc present relationship test sampl physic literatur suggest categori includ indic relat cite refer scientif process gener well indic relationship cite refer particular assign categori citat requir exercis judgment subject index involv use subject terminolog illustr provid applic citat index physic literatur
47,48.0,norm citat behavior prolegomenon footnot,kaplan ,public explos focus renew attent lowli least partial awar technic citat writer reader scientif littl know actual even less known oper norm respect sociolog function includ acknowledg intellectu debt conferr recognit upon work other paper review state knowledg rais question propos suggest hypothes studi relationship footnot practic among scientist social system scienc
48,49.0,adapt inform dissemin,fitzwater ,offer advantag manual comput strategi impract case imposs paper ame laboratori select dissemin inform emphasi effect feedback accept abstract key etc kwic scienc citat index sourc format consist word word cluster initi assign use make decis notifi may particular document accord respons signific valu increas decreas quickli attain equilibrium accur describ user interest econom compar exist sdi system human intervent neglig except ad delet profil entri
49,50.0,comparison result bibliograph coupl analyt subject index,kessler ,detail comparison three thirti four paper volum hundr twelv relat accord relate criterion one analyt subject index use editor physic review two method bibliograph coupl similar differ group thu form illustr discus
50,51.0,experi automat index,damerau ,report describ method base assumpt one subset effect two subject approxim select word document whose frequenc statist unexpectedli high result experi encourag although definit index set choose must test use retriev larg collect
51,52.0,compar index term suppli biomed author document titl,orr ,origin aim studi obtain object data bear much argu question whether two hundr eighti five report research paper establish ask twelv potenti describ similarli contain almost half term one member user group seventi three maxim possibl score compar forti four averag set judg criterion employ substanti good deriv document titl find suggest indicia suppli author scientist biomed disciplin well serv disciplinari colleagu gener method develop measur index qualiti may repres practic yardstick wide applic
52,53.0,kwic index concept retrospect view,fischer ,paper defin describ keyword context concept provid histori concept literatur variat bell telephon kwoc wadex paper variat manipul line variat code addit classif inform combin author titl prepar improv titl use thesauru discus improv use paper discus usag index comment futur kwic index kwic concept
53,54.0,simul boolean logic constraint use term weight,brandhorst ,evolut describ one aspect nasa technic inform facil machin search system may gener interest document profess
54,55.0,bradford law keenan atherton data,groos ,method appli keenan atherton data result fit bradford law
55,56.0,comput produc micro librari catalog,kozumplik  lange ,philosophi effect gener librari describ catalog uniqu util direct comput microfilm composit techniqu employ stromberg carlson four thousand twenti cost user accept product capabl stress
56,57.0,distribut index term maximum effici inform transmiss,slamecka ,function develop number post make possibl transmit maximum comparison actual term group calcul optimum distribut provid object measur evalu index system respect effici inform transmiss channel
57,58.0,relev disagr unclear request form,o connor ,disagr relev retriev occur relev judg differ interpret may differ interpret well know type obscur review le well know may form subject answer question q etc unclear explic develop mean form give sever other form discus interpret support statement specifi kind specifi way exampl give suggest perhap request unclear way formul clear question request give variou way document may support statement distinguish depend factor part document use infer strength background knowledg permit possibl clear support specif indic
58,59.0,opinion paper,savage ,although larg number select dissemin inform sdi plan implement test past year insuffici attent give need describ defect common almost system singl recent report detail discus argu favor collect correct interpret data one import frequent overlook evalu factor
59,60.0,inform scienc,borko ,seek new sen ident ask articl inform scienc tent answer question give hope simul discus help clarifi natur field work
60,61.0,expect search length singl measur retriev effect base work order action retriev system,cooper ,system call length reduct factor defin compar indic precis recal suggest worker new base calcul expect ir collect would number relev document could find advantag one provid singl index properti attempt measur two allow gradat statu mathemat concept weak order three evalu retriev perform rel random search four take account amount relev materi desir request
61,62.0,literatur search file organ model,leimkuhler ,principl sequenti optim theori distribut stage maxim probabl target detect expend thu far applic principl pertin item literatur item arrang decreas probabl item yield inform seek complet manner may feasibl propos partial order zone loss effici model ass rel effici partial order develop use determin optim zone size assum target distribut pattern way trade file organ effort effort mean evalu repres target distribut function literatur appear follow bradford law scatter function use demonstr applic model mean rang paramet obtain empir studi show good two zone plan scientif literatur one fifteen twenti use document examin first one three search go search remaind file
62,63.0,public inflat,london ,much vaunt inform explos seem manifest rather gener public inflat multipubl pretenti write becom obstacl commun human mind counteract harm effect necessari reduc quantiti improv qualiti print record filter materi store retriev
63,64.0,comput base serial control system larg biomed librari,roper ,rather reiter obviou purpos procedur involv creat control serial paper author deal concept upon ucla base manner maintain day day oper ucla biomed librari paper deal point make earlier public ucla serial project attempt show theori public pattern discuss earlier articl use produc differ idea control serial public pattern inform enter master record titl caus check card expect issu titl gener comput regardless text issu expect week next month next year departur system attempt predict certain number issu arriv give time period inform must part comput record describ librari procedur maintain system
64,65.0,studi search eye research literatur,miller ,paper report major studi period re question collect re select group nine differ think xerox send re find wide varieti small number carri larg proport judg valuabl approxim fourth eye foreign languag translat readili avail despit delay fifteen month origin appear journal mail photocopi half know previous extens retrospect search one secondari servic must use excerpta medica section twelv ophthalm literatur would good sourc medlar demand search clearli superior manual search index medicu titl abstract full text show equal effect permit search refer subsequ rate relev background ophthalmolog abl retriev articl interest non ophthalmologist searcher
65,66.0,psycholog inform,miller ,aspect use gener autom tendenc locat comput base system necessarili assign uniqu role tag featur consider import organ user seem larg overlook spatial dimens human memori discus suggest offer exploit effect context inform retriev servic
66,67.0,use simul studi inform storag retriev system,nance ,previou applic storag overli restrict scope fail environ paper consid sub large includ retriev system three form close loop inform feedback system respons influenc fund oper attempt satisfi need within finit budget alloc reward cost theori provid basi describ industri dynam model develop simul user funder behavior univers department librari isr compon result analysi produc discus
67,68.0,retriev answer provid document,o connor ,well understand subject might result differ function subject system studi separ paper concern respons mani possibl mean one must select specif inasmuch scientist field disagre correct somewhat differ background knowledg etc specif approxim scientif infer practic two sourc systemat knowledg statement infer practic scientif field describ ii content word occur occur question appar tractabl except index procedur base fact describ would permit answer document question howev index nonrel could caus fals well variou way deal fals retriev briefli indic studi sketch would provid data help select among two special point concern index retriev answer provid document discus separ
68,69.0,statist gener technic vocabulari,stone ,result experi use statist techniqu extract technic vocabulari document text present discus
69,70.0,understand user choic textual correl relev judgement,baumanis ,empir investig role document judgement report previous judg non sixti one compar see whether could might reason account rate differ result comparison fairli clear cut case relev partial relev abstract character find express larg mean co occurr term close relat question suggest textual base user choic may understand suppos
70,71.0,word word associ document retriev system,lesk ,smart automat document system use studi procedur automat content analysi effect frequenc paramet process investig examin relat pair experi pair usual reflect local mean true synonym readili find first second order relationship document collect littl overlap word relationship find use thesauru construct effect word thesauru retriev independ use retriev experi improv recal permit new match request document also precis reinforc exist match experi precis effect respons improv possibl associ properli construct thesauru howev offer good perform statist associ method
71,72.0,comparison manual automat index method,salton ,effect convent document index compar achiev fulli text process method evalu result give comparison medlar search use nation librari medicin experiment smart conclus reach concern design futur automat inform system
72,73.0,effect inform retriev method,swets ,result fifti differ method appli three experiment system subject suggest statist decis theori analysi valid previous propos measur effect demonstr sever desir properti examin wide rang data relat one metric provid clear gener assess current state retriev art
73,74.0,manageri cost account technic inform center,helmkamp ,purpos describ research project conduct theoret sound design meet specif characterist revis innov util enterpris computer system develop three month test hypothesi result studi indic effect manageri account possibl technic relev cost inform gener period measur oper perform center product process summari data report regularli manag present paper
74,75.0,medlar report evalu oper effici,lancaster ,comprehens program evalu perform medlar conduct nation librari medicin six one thousand nine hundr sixti seven report describ methodolog use present summari princip result conclus recommend
75,76.0,biomed literatur analysi journal articl collect radiat cell biologist,leith ,author refer card one thousand nine hundr sixti five one thousand nine hundr sixti six analyz accord three interest total collect one thousand four hundr sixti nine articl titl potenti set ii subset concern research special iii subset articl defin rank frequenc diagram drawn ii larg resembl obtain count citat basic count public select research pattern iii wide conclud access diver journal need research suppli new idea diver read reflect adequ citat count indirect mean current content use author current awar purpos build card file gener eighti eight articl scatter diagram indic decreas scatter predict use thirti import journal collect includ eighti titl rank pattern
76,77.0,effect automat gener weight link mechan index,wolf ,work concern medico method describ statist test design primarili examin valid assumpt form basi algorithm develop comput weight automat link index term modifi evalu also includ comparison output gener full text process abstract summari articl
77,78.0,line access inform nsf aid index catalog,bennet ,ad choos represent evid content relat document alreadi end negoti search possibl control inform collect base tool beyond avail tradit bibliograph catalog design philosophi nsf offer framework guid allow freedom retriev data judg help make decis exampl indic might also show display format command languag promot interact discus direct toward index clear facil would equal use searcher
78,79.0,comput select keyword use word frequenc analysi,roeloffs ,base method automat identifi key machin readabl text develop key agre good composit panel human index list produc five criterion previous suggest also well list produc individu panel member method make use document word frequenc corpu rel frequenc measur word import statist criterion compar perform human index use rank correl statist simpl word count find superior four previous suggest criterion make use corpu rel occurr frequenc test conduct nineteen document deal subject inform scienc total sixti six zero word occurr seventeen index repres eight differ inform center particip experi
79,80.0,graphic catalog card index,lewis ,improv mainten art unit state militari academi librari west point model imag design pertin identifi display directli black white opaqu also key punch serv ampl comparison refer previou handl slide produc subject arrang permut index book later permit access approach form geograph area name artist school style etc ad advantag common collect detail estim cost photo reproduct origin card variou copi comput time materi list futur benefit consist unifi catalog system graphic object dissemin kind inform network structur indic major goal
80,81.0,index consist qualiti,dexter ,develop base concept fuzzi set assign higher agre import term measur work also propos experiment data present certain categori consist qualiti valu compar analyz analysi exhaust lead conclus increas result group index process analog bradford inform scatter lotka scientif product zipf law vocabulari distribut
81,82.0,interindex consist hobgoblin,cooper ,often assum amount experienc give method somehow indic explor assumpt two state concern possibl connect specif counter exampl exhibit show hypothes invalid although mathemat analysi counterexampl yield certain insight gener inter success retriev subtl might expect conclud equat describ relationship deriv measur inter index consist littl mean clue index qualiti
82,83.0,cost analysi document surrog literatur review,landau ,state art review classif catalog index abstract includ data specif cost literatur gener find lack point view accuraci complet consist avail
83,84.0,independ agreement resolv disagr answer provid document,o connor ,eighti two thirti question relat area compar find provid question infer two judg expert make comparison independ discus disagr attempt resolv case posit judg first ask indic answer infer document passag discus depend detail case gener resolut procedur use resolv disagr whether document answer provid reduc familiar kind scientif disagr passag mean statement correct infer correct seem well treat relev judgement subject open ration discus
84,85.0,inform scienc toward develop true scientif disciplin,yovits ,consid similar chemistri must set concept analyt express appli flow previou author colleagu describ gener system wide perhap univers elabor indic rang applic sever fundament quantiti way allow quantif point paper basi develop necessari use model definit true goal requir curriculum scienc thu establish within context defin data valu decis make quantit obtain relat inform specif observ action measur physic
85,86.0,comparison keyword titl index singl access point per document alphabet subject index,stursa ,two collect three two hundr four field chemistri test keyword titl without ad keyword singl access point per alphabet subject thirteen graduat chemistri student use fifti five question result character term recal precis time statist signific differ recal precis search result multipl access point per keyword titl singl access point per document alphabet subject index search time significantli good alphabet subject index question one relev document
86,87.0,core nurs librari practition,stearns  ratcliff  getchell  zeller ,follow core librari suggest refer supplementari select nurs part unit state purpos let practition commun hospit know book journal wealth print materi would opinion expert use especi fund space limit
87,88.0,pattern name order among author scientif paper studi social symbol ambigu,zuckerman ,increas scientif collabor visibl individu role perform diminish adapt devic symbol rel research interview nobel comparison practic scientist suggest symbol ambigu make evalu individu role perform difficult probabl model expect distribut name order use measur prefer particular sequenc prefer vari assumpt author name list order valu first author often scientist fact instead exercis nobless oblig give credit less co worker increasingli emin grow often prize emin laureat forego first authorship often yet unrecogn noble oblig howev limit laureat contribut prize win research visibl contribut research
88,89.0,profession stand recept scientif discoveri,cole ,occur receiv differenti recognit particular scientif contribut depend merton origin introduc concept explain alloc credit among multipl discoveri collabor concept gener appli scientif oper recept equal influenc test hypothesi drawn sever studi similar design studi control number citat receiv two enabl u look group judg roughli equal two see whether differ recept one depend upon variou aspect author locat system indic assess qualiti time two import determin initi recept stratif variabl howev speed diffus equal qualiti influenc reput author base past heavili util time new discoveri matthew effect also oper locat prestigi point social system scienc stratif variabl includ emin measur receipt award influenc speed diffus data present indic top paper write high rank like wide diffus earli top paper low rank matthew effect also serv focu attent work littl know men collabor scientist high reput increas retroact visibl earli work scientist go great fame discus includ relev data studi resist scientif discoveri
89,90.0,involv computer person,kilgour ,face complex monolith entri catalog book shelv anship effort list titl arrang volum unidentifi except fraction percent consult refer an remain nameless comput superb abil treat person event posse potenti enabl big recaptur human qualiti anship depriv sinc day one an howev rehuman contribut computer develop modern societi forc establish new contemporari live base phenomenon outmod vener concept librari function small special librari alreadi librari particip cultur activ individu commun rather mere make avail torpid servic librari must look forward suppli inform user need object imposs attain classic librari techniqu
90,91.0,william wilkin great leap backward,north ,articl contain call activ particip segment librari educ commun william wilkin controversi effort achiev appropri copyright revis
91,92.0,oclc,plotnick ,sometim world divid two seem know call keep pop round convers certain bromid effervesc camp plain folk happi take life one acronym time need press might guess someth oh optic code congress colleg center begin nation computer bibliograph exchang continu grow univers household term even among comput phobe ohio librarian alreadi realiz kind thing go oclc simpli build someon el data base littl bit byte perhap big revolut access librari collect sinc book unchain shelv
92,93.0,american occup structur,blau ,reslt effort extend seven year tri hard book genuin joint product u contribut best qualifi make senior author sequenc name simpli alphabet revers sign prefac elsewher emphas fact collabor motiv share stratif common concern scientif basi systemat convict inquiri would benefit qualif viewpoint two u repres doubt interest approach sociolog problem differ consider degre although agre refin research method advanc social theori import exampl fair state duncan lay stress deriv theoret gener
93,94.0,american oversea librari technic assist one thousand nine hundr forti one thousand nine hundr seventi,brewster ,engag activ know various cooper past twenti five year form either sponsor support twentieth phenomenon broad concept mean provid anoth countri kind whether financi commod manpow almost purpos extend antiqu technic may defin hand suppli techniqu outgrowth revolut parallel rise nineteenth centuri recognit import industri trade power govern use aid instrument well privat public effort foreign assist field begin develop presid roosevelt good neighbor polici integr soon expand new relat program unit state implement world war ii offset nazi propaganda cultur offens latin america
94,95.0,scientif commun five theme social scienc research,menzel ,recent upsurg interest behavior technic flow two distinct sourc theoret develop research practic one concern polici maker scientif organ servic time past attent sociologist social psychologist studi commun process focus call mass phenomena mass turn interplay commun process definit delin map aspect social structur one aspect shift interest increas attent pay behavior scientist system suppli inform special sort public consum special inform scientif appli profess promin among public studi
