,.I,.T,.A,.W
53,54.0,,,note new type technolog use librari effect statu posit function chang contempl initi introduc autom educ librarian
54,55.0,aim object medic literatur analysi oper possibl applic medlar futur inform retriev system,,aim object medic literatur analysi oper possibl applic medlar futur inform retriev system
55,56.0,,,standard method find today librari alphabet arrang card classifi catalog base classif dc lc system modifi use autom inform retriev
56,57.0,,,catalog either alphabet arrang classif number print readabl ultim import individu look inform definit author titl phrase languag probabl english case mind lc entri subject head use manner autom system
57,58.0,direct librari network,avram  mccallum ,bibliograph control marc review capabl key onlin system interdepend center mediat larg util process distribut data basic structur among unit state independ major network bring problem standard author point technolog lead central autom librari servic develop push toward decentr coordin requir avoid fragment new environ
58,59.0,perform test book index inform retriev system,bennion ,term direct user select text materi whose ident locat know requir human searcher base search strategi actual passag book rather queri natur contriv circumv need relev judgement still indic correspond approxim recal precis ratio larg document system evalu preliminari applic subject index two major show one encyclopedia appar superior find discrimin retriev perform method present best suit compar test sinc abil yield absolut reproduc measur yet establish
59,60.0,combin use bibliograph coupl cocit document retriev,bichteler  eaton ,linkag take account bibliograph coupl document cocit cite cite produc improv document retriev base bibliograph coupl test collect consist one thousand seven hundr twelv whose specif queri judg user evalu effect use cocit data calcul queri two everi retriev paper sort similar produc two order list compar result predict partial relev non relev user evalu paper overal chang bibliograph coupl measur linkag similar measur repres introduct cocit data result good retriev perform
60,61.0,search bias larg interact document retriev system,blair ,way individu construct modifi search queri larg interact document retriev system subject systemat bias similar demonstr experi judgement uncertainti bias share naiv sophist subject caus inquir search document larg interact system construct modifi queri ineffici search algorithm suggest help inuir avoid effect bias
61,62.0,fuzzi request approach weight boolean search,bookstein ,articl concern problem permit patron repres rel import variou index term request retain desir properti charact classic boolean review relat notion fuzzi set fuzzi set concept form basi concept fuzzi request weight assign index term ther properti system discuss show system retain manipul tradit boolean request
62,63.0,featur comparison hous inform retriev system commerci search servic,boyle  miller ,avail inform base automat index identifi basi variou kind search eas implement influenc differ type specif common featur onlin instruct specifi print format dictionari display truncat see unnecessari impract design therefor detald consider give applic oper environ real user need commerci system serv use standard compar evalu one must care attempt duplic blindli hous
63,64.0,measur inform scienc object subject metric space,brookes ,argu scienc object document perspect subject like map landscap systemat distort howev easili make two space distinguish transform omit get unhelp physic solut inform problem
64,65.0,model cluster search base classif,croft ,use suggest effici file organ retriev system possibl use inform relationship effect system e abil distinguish relev non relev document may also improv paper probabilist base queri classif describ test retriev experi indic effect heurist cluster cluster search base model also effect full search everi document compar queri effici aspect implement model discus
65,66.0,technolog librari inform network,epstein ,currnt onlin dscrib includ physic function aspect three type network distinuish search e sdc lockhe custom bibliograph file e g oclc inc rlin center e g nelinet incolsa predict technolog evolv servic provid outsid librari directli user home offic
66,67.0,use titl automat document classif,hamill  zamora ,experiment comput develop classifi accord eighti five major group chemic abstract use pattern recognit techniqu supplement heurist train pre classifi select probabl occurr comput store refer classif match titl number use weight deriv probabl dictionari heurist techniqu use normal word variant plural past ten gerund train phase classif phase dictionari lookup techniqu supplement analysi chemic nomenclatur term compon word root influenc perform human consist evalu compar program result publish conduct experi peopl experienc assign ca program assign approxim seventi eight document correct major section group ca sixti seven correct section cross refer rate one hundr document per second
67,68.0,brief commun,harding  willett ,automat classif procedur use inform retriev deriv cluster intermedi similar matrix comput involv compar collect other recent suggest mani comparison specif term common may avoid mean uys invert file collect commun show approach effect reduct number interdocu comparison document index limit number index term exhaust index use mani document pair compar sever time comput great convent approach use gener similar matrix
68,69.0,applic minicomput thesauru construct,kazlauskas  holt ,variou creat nation inform center special educ materi nicsem databas describ collect edit correct candid eas group file similar concept gener product vocabulari review structur syndet relat indic assign code identif number alter easili design phase reflect restructur requir alreadi machin readabl form simpl prepar print program provid permut alphabet hierarch chart format term display use minicomput facilit initi thesauru entri develop reduc cleric effort editori staff decis overal process time
69,70.0,adapt design decis support system,keen ,support s repres concept role comput within make term becom ralli cri research practition concern scienc inform field becom unnecessarili narrow focu mani ralli cri term well defin writer simpli mean interact use other key issu support rather system focu understand improv decis ds design use avail suitabl technolog research view dss subfield mi other regard extens scienc techniqu former defin decis support provid manag access data latter give access analyt model key argument paper term ds relev situat final system develop adapt process learn evolut design strategi must focu get finish differ manag scienc data process approach research issu ds center around adapt evolut includ manageri learn represent task user behavior design architectur strategi get start
70,71.0,automat method extract signific phrase scienfif technic document,maeda  momouchi  sawamura ,new describ titl abstreact scientif technic upon structur analysi rel small dictionari base concept scienc technolog lexic knowledg compon item may differ mean among field text analysiu approach appli select substanti semant carrier content abstract result experi five set show signific phrase effect extract case number everi process time fairli satisfactori represent partli use method discus relat construct document inform retriev system
71,72.0,answer passag retriev text search,o connor ,passag alreadi oper lawyer advantag output form opver refer econom feasibl previou experi passag scientist demonstr recal fals rate good well present refer servic present experi involv great varieti form question addit search word select independ two differ peopl question search word select combin comput procedur use passag produc averag recal ratio seventi two sixti seven respect two selector fals rate except one predict difficult question respect thirteen ten fals retriev sentenc per answer paper retriev
72,73.0,partial match retriev use index descriptor file,pfaltz  berman  cagley ,paper practic method partial match larg data binari code word call associ use form deriv sever record serv block whole henc name index descriptor first structur describ simpl effici retriev algorithm present expect behavior term storag access analyz detail two differ creation procedur sketch number way file organ tune particular applic suggest
73,74.0,cooper competit among librari network,robinson ,recenti advanc success lead emerg three addit nonprofit inform rlin research group inc univers toronto autom system utla washington librari wln paper examin econom technolog factor affect evolut also explor role state region multist broker oclc servic competit cooper natur network relationship major theme discus
74,75.0,integr understand,schank  lebowitz  birnbarim ,new type natur languag present idea behind map input sentenc deep form represent mean appropri ser distinct entir understand system use integr concept infer script plan knowledg aid par furthermor attempt par everyth see rather determin interest concentr ignor rest
75,76.0,librari network resourc share unit state histor philosoph overview,stevens ,paper discus origin trace develop unit state late one thousand nine hundr sixti present concept resourc share inter loan program acquisit storag materi examin relationship network particular attent give question two major compon librari cooper tend separ might becom close integr
76,77.0,normal titl retriev,takamatsu  fujita  nishida ,paper present method normal english titl titl express noun phrase noun claus convert function express par reason recal rate well high precis rate function express transform predic governor form normal standard form therefrom variou item extract record hierarch tree like invert file order keep recal rate reason valu sever retriev stage implement base key term case label match retriev control precis specif case label key term
77,78.0,cascad atn grammar,woods ,gener notion cascad c prescrib permit decomposit complex languag understand behavior sequenc cooper atn separ domain respons call atn transduc take input output previou stage paper includ extens discjuss principl conceptu place give fact need repres grammar hypothesi factor reduc number distinct hypothes consid par
78,79.0,algorithm process partial match queri use word fragment,alagar ,algorithm give process partial specifi compress databas system propos handl effect queri use either whole word languag element compar critic evalu term analys show method exploit interdepend well relev fragment record file maximum design least retriev cost
79,80.0,gener formul bradford distribut graph orient approach,asai ,detail analysi eight previous publish mathemat model gener bradford distribut deduc follow log x c b ratio cumul frequenc articl total number articl x ratio rank journal total number journal b c slope intercept shift straight line log rank respect eight model special case gener one five type formul order estim three unknown statist method use root weight squar error propos compar experi use eleven databas suggest fifth type formul three unknown paramet best fit observ data experi show delet droop data lead accur valu paramet less error
80,81.0,lexic problem larg distribut inform system,berkovich  shneiderman ,creat necess handl great number name interrel cover complet concept data dictionari mostli scheme design rather execut oper paper introduc view sub separ compon architectur deal control function concern problem network environ suyb special effici organ program packag play role linguist filter broad sen incorrect queri promot integr databas retriev system facilit creation local system hope lexic becom product larg especi distribut inform system
81,82.0,relat model inform retriev,crawford ,receiv increas attent past decad simplic consist sound theoret basi articl natur view model organ bibliograph databas show notion introduc first second third fourth normal form demonstr discus includ calculu algebra sequel numer exampl pertin present languag advantag relat approach inform retriev note
82,83.0,electron inform interchang offic environ,desousa ,paper approach provid inform exchang across broad spectrum user applic offic autom offer herein current implement exist product provid basi document interchang capabl product five thousand five hundr twenti administr ibm three hundr seventi distribut offic support system disoss ibm displaywrit system specif describ document distribut associ data stream other gener overview oppos detail technic descript provid architectur describ protocol interchang applic process address specif user interfac document distribut architectur util sna data transmiss commun control facil
83,84.0,use automat relev feedback boolean retriev system,dillon  desper ,automat reformul patron judgement initi preval deriv appear set reflect term distribut among non relev document measur use guid construct boolean queri subsequ retriev illustr seri describ applic small data base experiment environ result compar favour feedback employ smart type system extens test suggest valid techniqu
84,85.0,interact natur languag artifici system donau project,guida  somalvico ,propos methodolog approach concept new contribut support design implement experiment donau purpos natur languag understand run milan polytechn artifici intellig two modular intend overcom lack flexibl often point mani exist facilit exchang result actual experi differ project horizont allow independ parallel develop singl syntact analys inform extractor legal control vertic level ensur possibl chang enlarg redefin definit semant domain particular special simpl increment user orient way paper gener architectur mode oper segment detail linguist model knowledg represent par algorithm describ illustr mean select exampl perform evalu system applic version data base inquiri report discus promis direct futur research present conclus
85,86.0,approxim string match,hall  dowling ,string aim techniqu suitabl item databas may spell mistak keyword find classifi either equival readili solv canon form similar measur survey full descript well establish dynam program method relat approach probabl likelihood search larg set use differ function see open problem still though sever promis idea suggest approxim match error correct par briefli review
86,87.0,use onlin microfich catalog technic servic retriev bibliograph data,hayes  borko ,prototyp creat integr comput bibliograph control cost oper data collect analyz permit econom storag record would feasibl compar magnet disk storag experiment test demonstr feasibl onlin microfich catalog use librari technic servic retriev bibliograph data primari result project creation complet oper facil includ equip softwar procedur data base necessari demonstr system second set result deriv experiment use system evalu cost time variou oper cost effect onlin microfich catalog demonstr
87,88.0,natur languag access inform system evalu studi accept end user,krause ,question ask whether feasibl use subset natur queri data base actual applic use question answer system user specialti usl method evalu natur base inform system discuss result error languag structur evalu suggest form gener architectur applic system use subset german queri languag
88,89.0,consider relat cost effect onlin servic librari,lancaster ,one thousand nine hundr seventi eight collier present hypothet data econom aspect use servic compar subscript print servic librari collier view econom search seem misleadingli pessimist one look effect compar two mode access search analysi combin effect aspect e cost effect analysi would give complet differ pictur two way cost data present grossli unfair onlin mode access use work contain correct inform regard onlin print servic librari
89,90.0,co citat context analysi structur paradigm,small ,mani inform concern oper document retriev system serv variou field scientist serv system often member call invis colleg group scientist frequent commun one anoth involv highli special subject matter often group consid share intellectu perspect regard subject matter sometim refer paradigm purpos show possibl identifi paradigm use techniqu citat analysi operation notion paradigm consensu field suppos obtain set pertain topic alreadi know someth field read text mark passag certain specif use discus exampl might find design appear sub set suppos identifi b use togeth paper certain specifi manner clearli natur way author b way though predomin mode may emerg set n give total admiss take two n time frequenc give combin occur sampl paper topic measur degre consensu regard particular combin within corpu take two time structur display graph concept node relat repres line arc connect node definit concept structur similar semant network artifici intellig except approach measur consensu weight arc graph
90,91.0,cocit author retriev onlin experi social indic literatur,white ,mode onlin scisearch scisearch involv enter name believ jointli subsequ writer cocit occur x form name four promin movement bauer duncan land sheldon document four specifi think duncan land would type data would integr path analyt causal model pair seem like gener social indic literatur two hundr nineti eight retriev confirm expectatt find hundr twenti one gener social indic document input author frequent si languag titl sign content also identifi si movement one hundr seventi seven retriev duncan land gener cite causal model document input pair path analyt natur expect rel harder first group although two group akin formal link citat certain paper addit result paper cite least three input author tend overview si movement
91,92.0,databas onlin statist one thousand nine hundr seventi nine,,number record contain onlin use increas dramat past sever year bring one thousand seventi total bibliograph bioliograph relat natur languag databas five twenti eight five twenti eight databas contain one hundr forti eight million record four million onlin search conduct via major u canadian system one thousand nine hundr seventi nine
92,93.0,experi local metric feedback full text retriev system,attar  fraenkel ,use result one formul next search appli full text consist two thousand four hundr document one three thousand zero text word hebrew arama consist cluster document return iter use weight proxim frequenc simultan process produc searchonym term synonym keyword context singl queri augument replac keyword searchonym via manual automat feedback lead formul next iter search result experi consist earlier small scale experi english indic contrast global cluster size matric limit applic small improv doubt local metric method appear well suit arbitrarili larg databas improv precis recal simultan experi use test queri run even large databas make collect evid perform method
93,94.0,microcomput altern inform handl refl,bivins  palmer ,microcomput base librari problem inform retriev discus theoret point view follow analysi refer process therebi gather lead descript term hardwar softwar refl prototyp current function test environ exampl data contain use present futur consider specul version system conclud paper
94,95.0,comparison two system weight boolean retriev,bookstein ,major defici inabl repres vari degre document may write subject articl isol number criterion meet gener capabl proven rule condit fuzzi set theori scheme satisfi properti associ algebra well probabilist introduc altern approach two compar limit zero one weight system consid converg tradit boolean retriev
95,96.0,threshold valu boolean retriev system,buell  kraft ,sever appear analyz recent develop process system queri boolean express purpos paper continu analysi show concept threshold valu resolv problem inher relev weight moreov shall explor possibl evalu mechan retriev document base fuzzi set theoret consider
96,97.0,model weight retriev system,buell  kraft ,good deal work inform retriev system continu assign index term describ record databas term describ user recent articl analyz retriev system continu either type boolean structur queri also suggest criterion system ought satisfi record evalu partial satisfi criterion offer care analysi base gener discret weight also look weight entir differ approach involv threshold gener improv evalu seem fulfil large subset desir criterion previou mechan new mechan allow user attach threshold queri term
97,98.0,translat comput interfac end user oper heterogen retriev system design,marcus  reintjes ,onlin difficult use especi end complex investig concern concept comput mean simplifi access oper heterogen bibliograph retriev databas allow languag request translat appropri command whatev interrog respons may transform common form give thu network differ make look like singl virtual system also provid instruct search aid user philosophi design implement experiment interfac name conit describ
98,99.0,translat comput interfac end user oper heterogen retriev system ii evalu,marcus  reintjes ,evalu concept translat compuyt multipl heterogen bibliograph undertaken name conit build test control condit inexperienc end detail analysi experiment usag show abl master suffici well find relev document refer success attribut part simpl command adequ onlin simplifi natur languag keyword stem approach conclud oper type studi provid increas usabl exist system cost manner especi searcher furthermor advanc interfac base improv instruct autom search strategi techniqu could enhanc retriev effect wide class user
99,100.0,interfac computer retriev system micrograph retriev system,mcmurdo ,paper note benefit accru interact computer review current state conclus combin advanc commun technolog sophist index input librari inform scientist new gener autom micrograph devic may constitut line document retriev system futur
100,101.0,parallel comput inform retriev,salton  bergmark ,larg base data movement pointer manipul integ arithmet refin algorithm may addit benefit substanti power present studi number method describ serv enhanc servic convent environ list search great interest advanc system array or also prove benefici variou process examin evid give demonstr use parallel process fast comput facil inform retriev
101,102.0,measur term import automat index,salton  wu  yu ,indic import content analysi purpos particular rare frequent normal believ less effect medium recent automat index devi also major theori first briefli review precis util oppos non document introduc method suggest estim relev overal occurr characterist collect final experiment evalu result show compar weight system use term relev properti convent frequenc base methodolog
102,103.0,ndx one hundr electron file machin offic futur,slonim  macrae  mennie  diamond ,paper describ design electron file machin capabl store larg number unstructur way particular document may easili quickli retriev function distribut architectur permit implement system mixtur hardwar softwar
103,104.0,select good search term,rijsbergen  harper  porter ,paper tackl problem one might select use relev feedback give queri search extract maximum connect index vocabulari number gener varieti associ span tree show approxim effect measur term precis recal retriev do three differ test collect
104,105.0,index consist qualiti effici,rolling ,determin inform content accur repres whether document correctli retriev everi time relev queri criterion cumbersom costli data base produc therefor prefer inter consist measur index qualiti effect present articl ass valid substitut variou environ
105,106.0,text passag retriev base colon classif retriev perform,shepherd ,set experi conduct determin suitabl foundat analysi represent primari document primari inform embodi document oppos secondari inform gener form abstract tabl content index full text databas two subject area queri solicit specialist area autom full text index along four autom passag creat test variou featur colon classif two boolean base one simpl word occurr creat order compar retriev result type common use retriev perform measur use recal precis mean expect search length reduct factor overal find colon classif base system perform significantli good system
106,107.0,user respons subject control bibliograph retriev system,tague ,studi carri relationship vocabulari relev descript record system previou prove two databas incorpor queri implement school librari inform scienc univers western ontario cluster document via statist analysi titl user co occurr retriev test use examin effect ad result show impract procedur oper set indic valu analys sampl data develop mainten keyword dictionari thesaurus
107,108.0,program machin mediat search,toliver ,techniqu onlin bibliograph call individu instruct data access drexel univers iida assist provid feedback base real time perform extens help facil draw analysi avail user much experiment work describ elsewher concern process search behavior searcher paper larg address project comput system develop subcontract franklin institut scienc inform servic
108,109.0,author cocit literatur measur intellectu structur,white  griffith ,particular case do use pair variabl indic distanc assum cite togeth close relationship raw data count drawn onlin scisearch social citat index period thousand hundr seventi nine gthe result show one identifi akin school inform two locat three degre central peripher four proxim within across boundari border seem connect variou research five posit respect map axe arbitrarili set span diverg group order aid interpret cocit analysi offer new might contribut understand intellectu structur scienc possibl extent area reli serial public techniqu establish author well document effect unit analyz subject specialti
109,110.0,progress document word process introduct apprais,whitehead ,futur process mail electron commun converg inform manag term includ list buzz word use describ current activ technolog high level plant ever increas fight product dull usual compar extrem low improv autom equal tediou routin job environ factori quot ten time great per employe howev chang rapidli invest larg scale alreadi place manhi area present day inflat bite hard forc mani compani organ take much close look offic oper
110,111.0,document cluster use invert file approach,willett ,autom describ requir inter similar matrix independ order process procedur make initi set deriv certain term index vocabulari characteris document retriev effect file compar obtain serial search use singl linkag cluster method
111,112.0,fast procedur calcul similar coeffici automat classif,willett ,fast list repres automat classif experi speed aris fact non zero valu coefficic give identifi togeth use invert file term document collect complex run time algorithm compar previous describ procedur
