,.I,.T,.A,.W,.B
97,98.0,arithmet translat compil ibm fortran automat code system,sheridan ,,1959-02-01
98,99.0,possibl modif intern algebra languag,green ,,1959-02-01
99,100.0,recurs subscript compil list type memori,iii ,,1959-02-01
100,101.0,nuclear reactor code,nather  sangren ,,1959-01-01
101,102.0,comparison six hundr fifti program method,curtz  riordan  spohn m ,,1960-12-01
102,103.0,cope consol oper profici examin,farbman  ketover ,year electron sophist must process becom complex depend skill experi increas time select qualifi grow difficult meet need quick accur uniform test train aid author cope consol oper profici outlin examin specif ibm seven hundr five model ii two tape record coordin similar program could develop comput,1960-12-01
103,104.0,digit simul discret flow system,moore  lewis ,discret discuss character movement randomli arriv item along interact channel digit comput system util techniqu common approach physic princip portion paper discus two studi illustr program problem involv one extens packag handl plant object optim paramet storag capac process rate air traffic flow procedur simul compar effect altern control decis,1960-12-01
104,105.0,two method word invers ibm seven hundr nine,price  jardins ,,1960-12-01
105,106.0,method overlap erasur list,collins ,import properti newel shaw simon scheme storag data multipl occurr store one place comput may unfortun pose subsequ give longer need desir eras part list lisp mccarthi eleg ineffici solut problem present paper gener enabl effici erasur method employ interspers refer count describ extent overlap,1960-12-01
106,107.0,multipl precis arithmet,pope  stein ,,1960-12-01
107,108.0,program error correct project mercuri,dimsdale  weinberg ,,1960-12-01
108,109.0,note approxim e x,lubkin ,,1960-12-01
109,110.0,fibonaccian search,ferguson ,,1960-12-01
110,111.0,program numer solut polynomi equat,ellenberger ,present comput root polynomi equat scale invers rule basic bairstow newton raphson iter techniqu appli great reliabl high degre accuraci rapid converg realiz numer exampl illustr pitfal show circumv applic recommend procedur,1960-12-01
111,112.0,numer solut polynomi equat algorithm thirti,ellenberger ,,1960-12-01
112,113.0,survey code charact represent,bemer ,,1960-12-01
113,114.0,survey punch card code,smith  williams ,,1960-12-01
114,115.0,optim structur,wheeling ,,1960-12-01
115,116.0,sumador chino,rogers ,recent motor trip mexico writer come across ad chine adder survey avail literatur histori mathemat instrument calcul uncov refer devic purpos commun enlist help member bring light whatev may know concern evolut present statu sumador chino,1960-11-01
116,117.0,estim rel effici two intern sort method,nagler ,,1960-11-01
117,118.0,charact scan ibm seven thousand seventi,speckhard ,,1960-11-01
118,119.0,note eigenvalu comput,andrus ,,1960-11-01
119,120.0,simpl techniqu code differenti equat,sefton  vaillancourt ,,1960-11-01
120,121.0,comput control label,holt ,,1960-11-01
121,122.0,least squar fit great circl point sphere,dewitte ,,1960-11-01
122,123.0,compil two comput neliac,jr  ,base algol develop u navi electron laboratori san diego california boot strap remington rand univac comput compil use run countess program gener machin code control data corpor cdc one thousand six hundr four three version neliac accept essenti ident input languag,1960-11-01
123,124.0,algorithm assign problem,silver ,assign formul briefli discus effici algorithm present algol code empir relat solut time size problem give base extens experi carri digit comput,1960-11-01
124,125.0,polynomi transform algorithm twenti nine,mackinney ,,1960-11-01
125,126.0,least squar fit orthogon polynomi algorithm twenti eight,mackinney ,,1960-11-01
126,127.0,assign algorithm twenti seven,silver ,,1960-11-01
127,128.0,rootfind iii algorithm twenti six,herroit ,,1960-11-01
128,129.0,rootfind ii algorithm fifteen,forsythe  herriot ,,1960-11-01
129,130.0,real zero arbitrari function algorithm twenti five,leavenworth ,,1960-11-01
130,131.0,solut tri diagon linear equat algorithm twenti four,leavenworth ,,1960-11-01
131,132.0,math sort algorithm twenti three,feurzeig ,,1960-11-01
132,133.0,riccati bessel function first second kind algorithm twenti two,oser ,,1960-11-01
133,134.0,bessel function set integ order algorithm twenti one,borsch supan ,,1960-11-01
134,135.0,digit comput univers iv,reeves ,,1960-10-01
135,136.0,note calcul interest,ingerman ,,1960-10-01
136,137.0,evalu number express string english word,swift ,,1960-10-01
137,138.0,think reconcil variou charact set propos corrigenda,voorhees ,,1960-10-01
138,139.0,binomi coeffici algorithm nineteen,kenyon ,,1960-10-01
139,140.0,crout pivot algorithm sixteen,forsythe ,,1960-10-01
140,141.0,think parallel process,yarbrough ,,1960-10-01
141,142.0,comment techniqu count one,sherman ,,1960-10-01
142,143.0,list comput system program ibm six hundr fifti datatron two hundr five univac s eighti,romberg ,,1960-10-01
143,144.0,number digit shorthand,bemer ,commun transmit group pul simpl equip sinc english form spar set possibl alphabet combin method ineffici comput system substitut termin use entir common phrase rather represent requir approxim one third present time save reflect overal cost benefit accru code languag translat scheme provis make pure numer binari stream singl charact transmiss non dictionari word name peopl place,1960-10-01
144,145.0,automat grader program class,hollingsworth ,,1960-10-01
145,146.0,use comput engin classroom instruct,katz ,april twenti nine thirti colleg univers michigan act steer committe foundat use comput engin educ hold special discus certain time pertin ford project report contain condens transcript key idea offer confer attende select topic,1960-10-01
146,147.0,report confer univers comput center director,,,1960-10-01
147,148.0,digit comput univers iii,reeves ,,1960-09-01
148,149.0,decis rule improv effici solv linear program problem simplex algorithm,dickson  frederick ,,1960-09-01
149,150.0,ration interpol continu fraction algorithm eighteen,floyd ,,1960-09-01
150,151.0,trdiag algorithm seventeen,iii ,,1960-09-01
151,152.0,crout pivot algorithm sixteen,forsythe ,,1960-09-01
152,153.0,comment fortran user,blatt ,,1960-09-01
153,154.0,rapidli converg express evalu e x,berin ,,1960-09-01
154,155.0,trie memori,fredkin ,,1960-09-01
155,156.0,introductori problem symbol manipul student,rosin ,,1960-09-01
156,157.0,digit comput univers ii,reeves ,,1960-08-01
157,158.0,rootfind ii algorithm fifteen,jr  ,,1960-08-01
158,159.0,rootfind algorithm two,jr  ,,1960-08-01
159,160.0,rootfind ii algorithm fifteen,jr  ,,1960-08-01
160,161.0,abbrevi word systemat corrigendum,barrett  grems ,,1960-08-01
161,162.0,variant techniqu count one,frieden ,,1960-08-01
162,163.0,count one ibm seven thousand nineti,kutler ,,1960-08-01
163,164.0,short studi notat effici,jr  ,,1960-08-01
164,165.0,neliac dialect algol,huskey  halstead ,,1960-08-01
165,166.0,program compat famili close relat digit comput,luebbert ,,1960-07-01
166,167.0,combin algol statement analysi valid check,mcisaac ,,1960-07-01
167,168.0,multiprogram schedul part three four schedul algorithm extern constraint,codd ,,1960-07-01
168,169.0,multilingu terminolog project,holmstrom ,,1960-07-01
169,170.0,think reconcil variou charact set propos,voorhees ,,1960-07-01
170,171.0,digit comput univers part,reeves ,,1960-07-01
171,172.0,complex exponenti integr algorithm thirteen,beam ,,1960-07-01
172,173.0,atla new concept larg comput design,,,1960-06-01
173,174.0,interv estim time one state total time ratio doubleexponenti process,neal ,,1960-06-01
174,175.0,solut simultan ordinari differenti equat use gener purpos digit comput,anderson ,,1960-06-01
175,176.0,symbol manipul thread list corrigendum,perlis  thornton ,,1960-06-01
176,177.0,solut polynomi equat bairstow hitchcock method grau commun acm februari one thousand nine hundr sixti algorithm,jr  ,,1960-06-01
177,178.0,rootfind algorithm,jr  ,,1960-06-01
178,179.0,evalu legendr polynomi pn x recur algorithm,galler ,,1960-06-01
179,180.0,evalu laguerr polynomi ln x recur algorithm,galler ,,1960-06-01
180,181.0,evalu hermit polynomi hn x recur algorithm,galler ,,1960-06-01
181,182.0,evalu chebyshev polynomi tn x recur algorithm,galler ,,1960-06-01
182,183.0,convers float point represent,perry ,,1960-06-01
183,184.0,short method measur error least squar power seri,robinson  struble ,,1960-06-01
184,185.0,multiprogram schedul part one two introduct theori,codd ,order exploit fulli fast comput possess simultan process abil larg extent routin must capabl extrem rapid prove self defeat construct entail determin program run concurr sequenti respect concis schedul describ tend minim time execut entir pend workload subset subject extern constraint preced urgenc etc algorithm applic wide class machin,1960-06-01
185,186.0,algorithm defin algol assign statement addendum,floyd ,,1960-06-01
186,187.0,compil connect,swift ,,1960-06-01
187,188.0,depart comput mathemat moscow state univers,berezin ,,1960-06-01
188,189.0,futur automat digit comput,booth ,,1960-06-01
189,190.0,bendix g twenti system,,,1960-05-01
190,191.0,abbrevi word systemat,barrett  grems ,,1960-05-01
191,192.0,techniqu count one binari comput,wegner ,,1960-05-01
192,193.0,start automat storag assign,patrick ,,1960-05-01
193,194.0,divisionless comput squar root continu squar,sarafyan ,,1960-05-01
194,195.0,code,patterson ,,1960-05-01
195,196.0,report algorithm languag algol sixti,naur  backus ,,1960-05-01
196,197.0,imaginari number system,knuth ,,1960-04-01
197,198.0,high speed multipl process digit comput,gurzi ,,1960-04-01
198,199.0,euclidian algorithm algorithm seven,claussen ,,1960-04-01
199,200.0,bessel function asymptot expans algorithm six,clarke ,,1960-04-01
200,201.0,bessel funtion seri expans algorithm five,clarke ,,1960-04-01
201,202.0,control system logic block diagnosi data load,senko ,integr monitor facilit check section instruct subroutin anywher object new method specifi oper format similar comput program make conveni use rel simpl understand paper also describ number novel diagnost featur includ system,1960-04-01
202,203.0,decod combin first n integ take k time,brown ,,1960-04-01
203,204.0,prove theorem pattern recognit,wang ,,1960-04-01
204,205.0,macro instruct extens compil languag,mcilroy ,macroinstruct construct small set function extrem power particular condit assembl nest definit parenthet notat serv make compil capabl accept gener extens ground languag,1960-04-01
205,206.0,symbol manipul xtran,green ,,1960-04-01
206,207.0,syntact semant augment algol,smith ,,1960-04-01
207,208.0,introduct inform process languag v,newell  tonge ,,1960-04-01
208,209.0,symbol manipul thread list,perlis  thornton ,,1960-04-01
209,210.0,recurs function symbol express comput machin part,mccarthy ,,1960-04-01
210,211.0,share standard flow chart symbol,grems ,,1960-03-01
211,212.0,bisect routin algorithm four,gorn s ,,1960-03-01
212,213.0,numer invers laplac transform,schmittroth ,,1960-03-01
213,214.0,algorithm defin algol assign statement,floyd ,,1960-03-01
214,215.0,execut oper fourth mode instruct sequenc,brooks ,,1960-03-01
215,216.0,note use abacu number convers,kanner ,,1960-03-01
216,217.0,soviet comput technolog one thousand nine hundr fifti nine,,,1960-03-01
217,218.0,comput prepar poetri concord,painter ,,1960-02-01
218,219.0,marriag problem,shuchter ,,1960-02-01
219,220.0,new method comput squar root without use divis,traub ,,1960-02-01
220,221.0,basic side tape label,logan ,,1960-02-01
221,222.0,code isomorph,lynch ,code extern symbol intern comput sometim carri way relev inform properti preserv form much easili deal case point present,1960-02-01
222,223.0,selfciph program,pelta ,,1960-02-01
223,224.0,sequenti formula translat,samelson  bauer ,algol conveni describ sequenc indic element call cellar control admiss state symbol pair may repres transit matrix descript syntax furnish time extrem simpl rule translat machin program statement algorithm languag sequenti treatment howev feasibl case certain optim process recurs address calcul,1960-02-01
224,225.0,techniquefor handl macro instruct corrigendum,greenwald ,,1960-02-01
225,226.0,solut polynomi equat bairstow hitchcock method algorithm three,grau ,,1960-02-01
226,227.0,rootfind algorithm two,wegstein ,,1960-02-01
227,228.0,quadi algorithm one,herbold ,,1960-02-01
228,229.0,terminolog propos,gruenberger ,,1960-02-01
229,230.0,propos charact code compat,bemer ,,1960-02-01
230,231.0,propos set public standard use acm,kent ,,1960-02-01
231,232.0,high speed sort procedur,frank  lazarus ,,1960-01-01
232,233.0,abstract addit nuclear reactor code,nather  sangren ,,1960-01-01
233,234.0,sap like assembl program ibm six hundr fifti,speckhard ,,1960-01-01
234,235.0,two think piec,bagley ,,1960-01-01
235,236.0,soviet cybernet comput,feigenbaum ,articl record observ research technolog cybernet comput scienc make author visit soviet union deleg ifac congress automat control hold moscow summer one thousand nine hundr sixti,1961-12-01
236,237.0,comput product peek boo sheet,robbins ,,1961-12-01
237,238.0,simul analysi biochem system,garfinkel  rutledge  higgins ,,1961-12-01
238,239.0,ineffici use boolean function inform retriev system,verhoeff  goffman  belzer ,,1961-12-01
239,240.0,process magnet tape file variabl block,graham  sprott ,,1961-12-01
240,241.0,machin calcul moment probabl distribut,lechner ,method preset calcul machi momet probabl distribut ecessit littl n addit n refer memori moment instead minimum n multipl two n addit two n refer memori requir straightforward method n number entri probabl distribut method directli applic tabul distribut exist comput repeat convolut case conserv time accuraci,1961-12-01
241,242.0,note geometr weight check digit verif,wilson ,note describ method util geometr weight modulu eleven check digit comput either multipl divis addit attempt make show limit system,1961-12-01
242,243.0,n dimension code detect correct multipl error,rubinoff ,paper introduc new famili detect correct multipl error binari messag messag arrang conceptu multidimension rectangular array process encod error detect base upon evalu along prescrib dimens array effect increas introduc system check bit essenti check pariti bit three dimension discuss paper pariti evalu along horizont vertic one main diagon howev famili restrict three dimens evidenc discuss minnick ashenhurst similar multidimension singl bit select plan use anoth purpos six four dimension code correct three detect four error develop extens high dimension code great correct power straightforward,1961-12-01
243,244.0,incomplet ellipt integr algorithm seventi three,kriebel ,,1961-12-01
244,245.0,set associ legendr polynomi second kind algorithm sixti two,herndon ,,1961-12-01
245,246.0,least squar fit orthogon polynomi algorithm twenti eight,macmillan ,,1961-12-01
246,247.0,incomplet ellipt integr algorithm seventi three,jefferson ,,1961-12-01
247,248.0,proprietari mathemat program impress panel discus,smith ,proprietari sponsor special interest committe maemat program hall septemb seven th sixteen th nation acm meet lo angel note consist sole impress garner moder panel necessarili repres posit panelist particip discus,1961-12-01
248,249.0,specif languag mechan languag processor baker dozen,gorn ,,1961-12-01
249,250.0,engin applic logic structur tabl,nickerson ,,1961-11-01
250,251.0,ballist cam design,archambault ,paper present digit program rapid calcul manufactur data essenti design preproduct util ballist comput fire control system cam profil gener introduc superelev angl requir tank main armament particular type ammunit,1961-11-01
251,252.0,program duplex comput system,dow ,paper describ use two militari defens method combin special basic data program packag duplex oper give system great reliabl achiev requir level integr comput similar process input continu cross check intermedi final result,1961-11-01
252,253.0,program ray chaudhuri algorithm minimum cover abstract complex,foata ,,1961-11-01
253,254.0,smalgol sixti one,bachelork  dempster  knuth  speroni ,prior thousand nine hundr one western peopl joint r group express interest defin sm algol languag use compil rel size preliminari report result acm nation confer four month later consid sever counter propos final version agre upon recommend subcommitte standard subset algol sixti use small comput present,1961-11-01
254,255.0,augment algorithm sixti eight,breed ,,1961-11-01
255,256.0,set test matric algorithm fifti two,dubay ,,1961-11-01
256,257.0,invert algorithm forti two,knapp  shaman ,,1961-11-01
257,258.0,composit gener algorithm seventi two,hellerman  ogden ,,1961-11-01
258,259.0,permut algorithm seventi one,coveyou  sullivan ,,1961-11-01
259,260.0,interpol aitken algorithm seventi,mifsud ,,1961-11-01
260,261.0,tape split,moore ,,1961-11-01
261,262.0,map,moore  ruwe ,,1961-11-01
262,263.0,librari load altern routin select,moore ,,1961-11-01
263,264.0,gener polyphas merg algorithm,reynolds ,,1961-11-01
264,265.0,low level languag subroutin use within fortran,barnett ,paper describ subroutin languag use within fortran code program deal special e g multi precis arithmet symbol bit manipul expand charact set input output visual display,1961-11-01
265,266.0,fit sphere method least squar,robinson ,,1961-11-01
266,267.0,propos improv effici algol sixti,wilkes ,,1961-11-01
267,268.0,stochast evalu static storag alloc,cohen ,,1961-10-01
268,269.0,core alloc base probabl,riskin ,,1961-10-01
269,270.0,techniqu storag alloc algorithm,jr  ,,1961-10-01
270,271.0,semi automat storag alloc system load time,heising  larner ,,1961-10-01
271,272.0,storag alloc scheme algol sixti,jensen  mondrup  naur ,alloc scheme machin two thousand forti eight instruct core magnet use drum store block data must direct programm auxiliari inform algol program administr routin control storag run time describ full detail exampl give,1961-10-01
272,273.0,experi automat storag alloc,jr  ,,1961-10-01
273,274.0,dynam storag alloc atla comput includ automat use back store,fotheringham ,,1961-10-01
274,275.0,dynam storag alloc inform retriev system,sams ,,1961-10-01
275,276.0,program organ record keep dynam storag alloc,holt ,materi present paper part design plan core alloc portion program system project ascii matic concern applic comput techniqu activ certain headquart militari intellig oper u armi,1961-10-01
276,277.0,problem storag alloc multiprocessor multiprogram system,maher ,,1961-10-01
277,278.0,gener formul storag alloc,jr  ,formal attemt give associ fictiti comput essenti ident except respect posse unbound primari total intern extern introduc p rel specif execut time period underwhich p effect data refer locat direct address storag establish arbitrari sequenc map decoupl admiss sub link set interlud exist proof term complet interpret program indic special case discus variou restrict gener program consid practic realiz alloc process becom tractabl,1961-10-01
278,279.0,case dynam storag alloc,sams ,,1961-10-01
279,280.0,preplan approach storag alloc compil,o neil ,,1961-10-01
280,281.0,put hex e x,feurzeig ,recent approxim natur antilog consid indirect describ e x note produc particular famili fast high precis emin practic exponenti evalu formula deriv one formul,1961-10-01
281,282.0,optimum tape write procedur,hutchinson ,consid magnet tape system read check write error occur write record program error routin may either tape tri rewrit record paper evalu two basi expect loss comput time develop decis rule select optimum rule depend critic number time tape write use futur case optimum procedur second decis size area bypass necessari formula develop determin optimum area bypass procedur,1961-09-01
282,283.0,invers complex matrix,tornheim ,,1961-09-01
283,284.0,manipul algebra express,rom ,manipul sum cipi one n conjunct program enablesu transfer function algebra describ block diagram linear continu multi loop feedback machin represent deriv express virtu form simplifi task compil algorithm develop particular purpos connect system analysi studi howev applic mathemat devic extend far beyond confin origin problem,1961-09-01
284,285.0,solut tridiagon matric,wenrick  houghton ,,1961-09-01
285,286.0,iter method invers power seri,bramhall ,,1961-09-01
286,287.0,gener import event techniqu,shapiro  vreenegoor ,,1961-09-01
287,288.0,syntact chart algol sixti,taylor  turner  waychoff ,,1961-09-01
288,289.0,critic path schedul algorithm forti,alexander ,,1961-09-01
289,290.0,chain trace algorithm sixti nine,mayoh ,,1961-09-01
290,291.0,use mobol preparingretriev program,hoffman  opler ,,1961-09-01
291,292.0,inform retriev languag legal studi,kehl  horty  bacon  mitchell ,,1961-09-01
292,293.0,appli mathemat laboratori david w taylor model basin,richstone ,,1961-09-01
293,294.0,imaginari number system,knuth ,,1961-08-01
294,295.0,ration approxim error function similar function,clendenin ,,1961-08-01
295,296.0,note multipl precis arithmet,cox  luther ,,1961-08-01
296,297.0,note fit great circl least squar,marcus ,,1961-08-01
297,298.0,forti eight bit pseudo random number gener,kuehn ,new forti eight pseudo suitabl sever comput statist determin adequaci use mont carlo program frequenc distribut certain low order moment run mean appli half million lie interv zero one three obtain specifi within gener test substanti random number except set integ come least signific bit,1961-08-01
298,299.0,gener polyphas merg algorithm,reynolds ,,1961-08-01
299,300.0,cobol sampl problem,mackinson ,simplifi merchandis control problem choose present potenti user system mythic depart store e bro inc program cobol languag one mani run comput,1961-08-01
300,301.0,set test matric algorithm fifti two,gilbert ,,1961-08-01
301,302.0,augment algorithm sixti eight,rice ,,1961-08-01
302,303.0,basic terminolog connect mechan languag processor,gorn ,suggest paper part terminolog use univers pennsylvania comput educ work jointli support nation scienc foundat air forc offic scientif research,1961-08-01
303,304.0,nth root complex number algorithm fifti three,jr  ,,1961-07-01
304,305.0,cram algorithm sixti seven,caffrey ,,1961-07-01
305,306.0,invr algorithm sixti six,caffery ,,1961-07-01
306,307.0,find algorithm sixti five,hoare ,,1961-07-01
307,308.0,quicksort algorithm sixti four,hoare ,,1961-07-01
308,309.0,partit algorithm sixti three,hoare ,,1961-07-01
309,310.0,set associ legendr polynomi second kind algorithm sixti two,herndon ,,1961-07-01
