,.I,.T,.A,.B,.W
16,17.0,adventur librarianship,,1970,long need continu seri provid scholarli review rapidli chang advanc field librarianship seri would select subject particular current signif profess provid analysi advanc make research practic advanc librarianship plan design fill need present critic articl survey base publish literatur research progress develop librari type mechan may appear obviou advanc front librarianship autom catch enthusiast support librarian visual potenti advanc field certainli find everi volum seri first group articl volum demonstr technolog chang obviou direct implic librari problem find much complex simpl inventori problem mani expert expect advanc librarianship dedic present realiti autom as go fast hope get machin catalog review current statu machin produc book catalog lie ahead enter age marc busi method great applic progress easi report mechan acquisit process even area gener accept practic standard futur past one problem major immedi import comput catalog inform discu file system comput manipul detail review present complex problem suggest possibl solut mani year technic servic cost defend without adequ knowledg fact autom procedur propo standard determin cost tradit oper becom essenti articl standard cost show problem difficult review signif advanc past year school librari widen dimen materi servic much rapidli librari reflect new name instruct medium center technic chang togeth new teach method make possibl major develop librari servic school well child public librari two articl make clear demonstr remain make rule rather except bibliotherapi exampl field progress slow articl illustr potenti system theori manageri plan theori librari articl applic concept come research administr provoc may appear controversi articl librari develop develop countri provid analysi depth effort degr success assist countri provid librari servic import modern world
17,18.0,select dissemin inform,,1974,present contribut duplic previou studi complement earlier public close gap exist literatur prior one thousand nine hundr sixti six one thousand nine hundr seventi one addit bold attempt evalu critic object histori mechan select dissemin inform sdi reflect literatur initi descript luhn one thousand nine hundr fifti eight one thousand nine hundr sixti one b c post one thousand nine hundr seventi period sdi boom begin lose ground popular line interact system review therefor question interpret concept sdi implement evolut light work perform mani compani govern agenc univ societi librari last fourteen year
18,19.0,adventur theori languag,,,tri give account statist properti languag one face problem find common thread would show mani multifari form languag statist embodi scatter paper write linguist philosoph mathematician engin use profess idiom belong one great whole quantit linguist book stress peculiar statist languag structur convent statist put differ two type statist briefli latter compri method paramet gener number statist appli e g econom demographi former method characteri paramet particularli use describ evalu languag structur idea statist linguist use concept method adumbr author languag choic chanc one thousand nine hundr fifti six take definit shape develop shall tri give brief account book languag choic chanc foundat lay truli sensibl applic statist languag interpret langu parol dichotomi essenti statist univ sampl
19,20.0,age jewett charl coffin jewett american librarianship one thousand eight hundr forti one one thousand eight hundr sixti eight,,,librarian mark begin modern librarianship find american librari associ one thousand eight hundr seventi six appear nation librari scene dynam controversi figur melvil dewey charl ammi cutter overlook extrem signif era histori profess quarter centuri prece one thousand eight hundr seventi six meet philadelphia one charact great advanc field american librarianship period growth consid influenc cour librari develop america one thousand eight hundr seventi six ignor third quarter nineteenth centuri risk misinterpret pivot post one thousand eight hundr seventi six era time reapprai seem particularli appropri use focu attent year prece find american librari associ
20,21.0,aggress,,,book lorenz deal evolut aggress vertebr point aggress total differ predat biolog necess defenc territori corner anim becom mix innat drive thu lead toward reduct intraspecif damag note evid fiercer social predat like wolv escap pack virtual imposs co oper without fight necessari surviv wherea non social proverbi peac dive prevent escap lead violent often fatal attack weaker mate final chapter advanc suggest human speci evolut primarili cultur guid darwinian select strict sen aggress drive may canal less danger channel man innum way adapt ritual behavior mani analog homolog find anim event aggress fascin book master subject
21,22.0,educ manpow librarian,,,paper offici polici statement american librari associ offic librari educ simpli explor outlin possibl consid profess purpo gener discuss lead eventu statement associ polici profess support make effect basic assumpt statement rest librari occup much broad segment librari profess profess segment respon definit supervi train educ requir complet rang activ encompass occup librarian person work librari librarian one concern advanc improv librari profess follow oblig profess engag activ establish mainten standard norm govern prepar peopl work level librari defin guid kind prepar use pre profess level mere educ hold posit level call profess
22,23.0,pilot inventori librari hold,,,project undertaken high degr uncertainti among librari staff regard extent problem miss book find studi give ohio state univ librari concret evid mani book miss indic area book loss great figur also provid inform convey faculti administr voic complaint unavail librari book area loss high also tend indic area frequent use
23,24.0,librari technolog forc affect,,,one mean technolog kind technolog forc concern two import concern technolog think futur librari three kind technolog particularli import librari four technolog appli today five fore futur move toward year two thousand six anyth tomorrow tri get
24,25.0,algebra system,,,far back one thousand nine hundr twenti algebra accept scienc studi properti set defin particular system oper howev forti overwhelm major algebraist investig mere kind algebra structur primarili group ring lattic first gener theoret work deal arbitrari set arbitrari oper due g birkhoff one thousand nine hundr thirti five year tarski publish import paper formul basic principl theori set equip system relat set call model contrast algebra model theori make abund use apparatu mathemat logic possibl make fruit use logic studi univ algebra also classic part algebra group theori discov author one thousand nine hundr thirti six next twenti five year gradual becam clear theori univ algebra model theori intim relat despit certain differ natur problem therefor mean speak singl theori algebra system deal set defin seri oper relat algebra system formal apparatu theori languag call appli predic calculu thu theori consid border logic algebra
25,26.0,index abstract associ,,,articl discu possibl exploit statist word co occurr text purpo document retriev co occurr defin relat mental process author reader sever mean quantit measur word co occurr scrutin show strongli co occur word pair therefor associ statist sen repr form associ map last half articl present two mode use associ map literatur search
26,27.0,cost analysi simul procedur evalu larg inform system,,,comput program write use simul sever year oper inform system comput estim expect oper cost well amount equip personnel requir time period program use analysi sever larg system prove use research tool studi system mani compon interrel oper equiv manual analysi would extrem cumbersom time consum perhap even impract paper describ program show exampl result simul two sever suggest design specif inform system
27,28.0,note pseudo mathemat relev,,,recent number articl book report deal inform system e document retriev system advanc doctrin system evalu term degr percentag relev provid although seem littl agreement relev mean doubt quantifi nevertheless grow agreement fix formal relationship exist relev recal perform system thu find literatur frankli subject notion relev report individu user equat curv mathemat formul presum provid numer measur recal relev characterist inform system phenomenon shift back forth admittedli subject non mathemat term equat term give mathemat valu mathemat definit ancient parallel discu probabl one cour legisl mean term depend alic point master user term hand use singl term document cover two distinct mean especi usag design secur accept doctrin attribut mathemat valid repr seriou situat mere careless ambigu
28,29.0,question concern inform need,,,express satisfi request inform need often use mean obscur literatur inform need relat retriev suggest three differ though inconsist possibl interpret howev interpret fundament unclear variou obscur involv indic critic question write inform need invit answer
29,30.0,vocabulari build control techniqu,,,ration give creation maintain inform center control index retriev vocabulari basic vocabulari principl one use natur languag two develop hospit new concept three provi adequ cross referenc four format easi use terminalog convent necessari develop control use vocabulari summar techniqu appli convent construct thesauru describ comput edit techniqu updat techniqu briefli set forth
30,31.0,attend use scienc librari,,,interim report continu studi librari oper massachusett institut technolog make member institut oper research project cooper librarian librari staff report base actual observ premi use make scienc librari variou statist measur kind degr inten use tabul addit suggest measur effect librari uniqu outcom survey construct verif mathemat model employ probabl theori measur rate kind use librari materi togeth length stay librari patron model characterist oper research approach give promi goal effect librari manag plan
31,32.0,inform gather pattern creativ studi research chemist industri research laboratori,,,comparison creativ noncr research chemist respect way use profess technic literatur creativ chemist differ noncr former read technic literatur job less reluct use literatur great read difficulti less influenc independ think read exten consult frequent old materi inquisit broad cultur interest find studi believ help plan librari inform servic refin futur inquiri way scientist use record inform improv test identif creativ abil among chemist
32,33.0,half life scientif technic literatur,,,consid analog half life radioact substanc rate obsolesc scientif literatur valid analog suggest possibl accur prognost concern period time scientif literatur may use henc might help guid plan librari collect technic inform servic
33,34.0,keyword context index technic literatur kwic index,,,distinct make bibliograph index new past literatur base will user trade perfect currenc index give keyword context propo suitabl dissemin new inform entir machin gener henc keep date current literatur compat code scheme identifi index document also propo element automat extract usual identifi document code identifi yield maximum inform remain suscept normal method order
34,35.0,comparison four type lexic indic content,,,experi conduct determin four type lexic indic content could util best subject determin relev irrelev document answer set one hundr question result indic major differ group use complet text abstract select relev document group util complet text obtain significantli high score examin
35,36.0,record use book yale medic librari,,,explor amount use book categori borrow yale medic librari view discov proport catalogu put machin form
36,37.0,world technic journal literatur estim volum origin languag field index abstract,,,quantit estim make magnitud world scientif technic journal literatur problem use number basic sourc statist inform composit pictur establish show thing total volum linguist nation origin breakdown subject field degr coverag abstract index servic
37,38.0,machinelik index peopl,,,studi sever thousand entri classifi bibliographi articl titl index medicu reveal larg proport titl entri contain word ident synonym word correspond subject head infer major part bibliographi studi could compil machin procedur oper titl alon provid machin suppli suitabl synonym dictionari
38,39.0,bibliograph coupl scientif paper,,,report describ result automat process larg number scientif paper accord rigor defin criterion coupl popul paper studi order group satisfi state criterion interrel examin paper constitut group show high degr logic correl
39,40.0,worldwid censu scientif technic serial,,,result censu world scientif technic serial literatur within limit defin base examin publish sourc materi countri throughout world reflect total titl popul much low estim distribut popul countri show good fifti total divid among six major countri includ discu togeth broad subject distribut serial certain countri
40,41.0,new factor evalu scientif literatur citat index,,,one million citat scientif literatur process citat index project institut scientif inform project sponsor nsf nih describ briefli new method use citat data evalu public discu summari statist data compil comput method follow give one frequenc citat one journal anoth two frequenc current citat past literatur three frequenc self citat journal author four number sourc citat per cite paper five number refer per sourc paper six number paper publish per journal
41,42.0,notion relev,,,analysi problem defin mutual relev queri document collect indic essenti involv problem conceptu relat order consid later problem question concept format first discuss turn requir definit concept extens interpret suggest wherebi concept associ class conceptu similar document user similar judgment provid empir data formal definit concept conceptu relat find howev certain gener difficulti rule possibl defin concept relat method propo sinc method base human relev judgment seem natur one adopt collap seriou practic theoret consequ altern approach therefor propo whose elabor form part ii articl
42,43.0,consist human judgment relev,,,comparison abil human consist judg relev document gener interest base citat abstract keyword total text make control experi condit result show one human abl make judgment consist two consist judgment independ particular base make appar inconsist ari judgment make basi abstract remain unexplain experi well concern human evalu text materi leav unexplor basic problem provid metric scale evalu measur
43,44.0,distribut term usag manipul index,,,semi empir correl base data nine index permit predict percentag term manipul index vocabulari use index give number document function total number index entri system log normal relationship similar zipf law exist total index entri distribut term usag base upon correl optimum vocabulari size growth rate infer well effici arrang index entri storag medium result agr well publish data appear particularli use design mechan retriev public oper
44,45.0,measur reliabl subject classif men machin,,,procedur measur consist document classif describ three subject specialist classifi nine hundr nineti seven abstract psycholog report one eleven categori abstract also mechan classifi comput program use factor score comput procedur abstract score categori assign one high score three manual classif compar mechan classif seri cont coeffici comput averag reliabl manual classif procedur equal eight hundr seventi correl automat manual classif seven hundr sixti six
45,46.0,quantit measur user circul requir possibl effect stack thin multipl copi determin,,,strategi outlin articl describ possibl aid librarian thin librari stack accord criterion user need method use last circul date paramet user circul requir result stack collect would design satisfi nineti nine percent user circul requir yet minimum size preliminari yet fulli valid research indic number volum librari hold may reduc sixti seventi percent yet satisfi well nineti nine percent user requir may also possibl determin book multipl copi order user disappoint minim effect result approach may quantit method maintain librari hold reason level addit reduct disappoint user unabl find book want use anoth
46,47.0,improv select citat index scienc literatur inclu citat relationship indic,,,citat index larg bodi scienc literatur often list far cite refer know cite refer user afford time look provid addit inform beyond minim associ cite refer cite refer citat index could provid mean user select long list cite refer relev immedi search requir mean provid select discu particular attent give possibl ad short code citat entri would inform way cite public oper relat cite one method integr featur shepard legal citat scheme citat relationship potenti valu user scienc literatur present relationship test sampl physic literatur suggest categori includ indic relat cite refer scientif process gener well indic relationship cite refer particular assign categori citat requir exerci judgment subject index involv use subject terminolog illustr provid applic citat index physic literatur
47,48.0,norm citat behavior prolegomenon footnot,,,public explo focu renew attent lowli footnot least partial awar technic function citat writer reader scientif paper littl know norm oper actual practic even less known oper norm respect sociolog function includ acknowledg intellectu debt conferr recognit upon work paper review state knowledg rai question propo suggest hypoth studi relationship footnot practic among scientist social system scienc
48,49.0,adapt inform dissemin,,,comput dissemin inform offer signif advantag manual dissemin comput use strategi impract case imposs human paper describ ame laboratori select dissemin inform system emphasi effect user feedback system accept document abstract keyword etc kwic scienc citat index sourc format user profil consist word word cluster initi assign signif valu valu use make deci notifi user may interest particular document accord respon signif valu increa decrea quickli attain equilibrium accur describ user interest system econom compar exist sdi system human interv neglig except ad delet profil entri
49,50.0,comparison result bibliograph coupl analyt subject index,,,detail comparison three hundr thirti four paper volum one hundr twelv physic review form relat group accord two criterion relat criterion one analyt subject index use editor physic review two method bibliograph coupl similar differ group thu form illustr discu
50,51.0,experi automat index,,,report describ method index document base assumpt one subset word document effect index document two subject approxim select word document whose frequenc statist unexpectedli high result experi encourag although definit index set choos must test use retriev larg collect
51,52.0,compar index term suppli biom author document titl,,,origin aim studi obtain object data bear much argu question whether author index good author index two hundr eighti five document report biom research score compar author suppli term author set paper criterion set term establish ask group twelv potenti user describ document term document titl titl set score similarli averag author set contain almost half term employ one member user group score seventi three maxim possibl score compar forti four averag titl set judg method criterion employ author index substanti good index deriv document titl find suggest indicia suppli author serv scientist biom disciplin well serv disciplinari colleagu gener method develop measur index qualiti may repr practic yardstick wide applic
52,53.0,kwic index concept retrospect view,,,paper defin describ kwic keyword context index concept provid histori concept literatur discu variat index bell telephon index kwoc index wadex paper discu improv variat kwic index manipul index line variat code addit classif inform combin author index titl index improv prepar kwic index improv titl use thesauru discu improv use kwic index paper discu usag kwic index comment futur kwic index kwic concept
53,54.0,simul boolean logic constraint use term weight,,,evolut describ one aspect nasa system technic inform facil machin search system may gener interest document profess
54,55.0,bradford law keenan atherton data,,,bradford method appli keenan atherton data result fit bradford law
55,56.0,comput produc micro librari catalog,,,philosophi product cost effect comput gener librari catalog describ catalog uniqu util direct comput microfilm composit techniqu employ stromberg carlson four thousand twenti cost user accept product capabl stress
56,57.0,distribut index term maximum effici inform transmiss,,,function develop optimum distribut index term number post make possibl transmit inform maximum effici comparison actual distribut term group calcul optimum distribut provid object measur evalu index system respect effici inform transmiss channel
57,58.0,relev disagr unclear request form,,,disagr relev document retriev request occur relev judg differ interpret request document request may differ interpret unclear well know type request obscur review le well know request may unclear form document subject document answer question q etc unclear explic develop mean request form give sever request form discu interpret document support statement specifi kind specifi way exampl give suggest perhap request unclear way formul clear question request give variou way document may support statement distinguish depend factor part document use infer strength background knowledg permit possibl clear support specif indic
58,59.0,opinion paper,,,although larg number select dissemin inform sdi system plan implement test past year insuffici attent give collect interpret import data need evalu describ defect common almost report system singl one recent report detail discu argu favor collect correct interpret data one import frequent overlook evalu factor
59,60.0,inform scienc,,,seek new sen ident ask articl question inform scienc inform scienc tent answer question give hope simul discu help clarifi natur field work
60,61.0,expect search length singl measur retriev effect base work order action retriev system,,,measur document retriev system perform call expect search length reduct factor defin compar indic preci recal suggest worker new measur base calcul expect number irrelev document collect would search desir number relev document could find advantag one provid singl index properti attempt measur two allow gradat retriev statu mathemat concept weak order three evalu retriev perform rel random search four take account amount relev materi desir request
61,62.0,literatur search file organ model,,,principl sequenti optim search theori distribut search effort stage maxim probabl target detect effort expend thu far applic principl search pertin item literatur file file item arrang decrea order probabl item yield inform seek complet order manner may feasibl propo file partial order search zone loss search effici model as rel effici partial order develop use determin optim zone size assum target distribut pattern way trade file organ effort search effort mean evalu repr target distribut function search literatur appear follow bradford law scatter function use demonstr applic model mean rang paramet obtain empir studi show good two zone search plan scientif literatur one fifteen twenti use document examin first one three search go search remaind file
62,63.0,public inflat,,,much vaunt inform explo seem manifest rather gener public inflat multipubl pretenti write becom obstacl commun human mind counteract harm effect necessari reduc quantiti improv qualiti print record filter materi store retriev
63,64.0,comput base serial control system larg biom librari,,,rather reiter obviou purpo procedur involv creat comput system control serial paper author deal concept upon ucla system base manner system maintain day day oper ucla biom librari paper deal point make early public ucla serial project attempt show theori public pattern discuss earlier articl use produc differ idea comput control serial public pattern inform enter master record titl cau check card next expect issu titl gener comput regardless text issu expect next week next month next year departur system attempt predict certain number issu arriv give time period inform must part comput record describ librari procedur maintain system
64,65.0,studi search eye research literatur,,,paper report major find studi search period eye research literatur question collect eye research select group search nine differ secondari sourc articl think relev xerox send eye research subsequ rate articl articl eye research interest find wide varieti journal small number journal carri larg proport articl judg valuabl eye research approxim fourth eye research articl foreign languag translat readili avail despit delay fifteen month origin appear articl journal mail photocopi half articl interest research know previou exten retrospect search one secondari servic must use index medicu excerpta medica section twelv ophthalm literatur would good sourc medlar demand search show clearli superior manual search index medicu titl abstract full text show equal effect permit search retriev refer subsequ rate relev research searcher background ophthalmolog abl retriev articl research interest non ophthalmologist searcher
65,66.0,psycholog inform,,,aspect human use inform gener overlook autom inform servic human tendenc locat inform spatial comput base system necessarili assign uniqu role spatial tag featur consid import organ user memori seem larg overlook spatial dimen human memori discu suggest offer exploit effect context inform retriev servic
66,67.0,use simul studi inform storag retriev system,,,previou applic simul inform storag retriev system isr overli restrict scope fail consid environ within system oper paper consid isr subsystem within larg system includ user funder retriev system three compon form close loop inform feedback system user respon influenc fund oper isr attempt satisfi user need within finit budget alloc reward cost theori provid basi describ user behavior industri dynam model develop simul isr user funder behavior univ depart librari isr compon result analysi produc discu
67,68.0,retriev answer provid document,,,well understand subject document retriev might result differ function subject document retriev system studi separ paper concern retriev document respon question answer question infer answer provid document answer infer document mani possibl mean one must select infer specif inasmuch scientist field disagr correct infer somewhat differ background knowledg etc infer specif approxim scientif infer practic two sourc systemat knowledg document statement infer practic scientif field describ ii content word occur question occur answer question appar tractabl except index procedur base fact describ would permit retriev answer provid document question howev index nonrel could cau fal retriev well variou way deal fal retriev briefli indic studi sketch would provid data help select among two special point concern index retriev answer provid document discu separ
68,69.0,statist gener technic vocabulari,,,result experi use statist techniqu extract technic vocabulari document text present discu
69,70.0,understand user choic textual correl relev judgement,,,empir investig role document relev judgement report abstract previou judg relev partial relev nonrelev sixti one question compar see whether textual differ could find might reason account rate differ result comparison fairli clear cut charact case relev partial relev abstract charact find express larg mean co occurr term close relat question suggest textual base user choic may understand suppo
70,71.0,word word associ document retriev system,,,smart automat document retriev system use studi associ procedur automat content analysi effect word frequenc paramet associ process investig examin relat pair retriev experi associ pair word usual reflect local word mean true synonym readili find first second order relationship document collect littl overlap word relationship find associ use thesauru construct effect word associ thesauru retriev independ use associ retriev experi improv recal permit new match request document also preci reinforc exist match experi preci effect respon improv possibl associ properli construct thesauru howev offer good perform statist associ method
71,72.0,comparison manual automat index method,,,effect convent document index compar achiev fulli automat text process method evalu result give comparison medlar search system use nation librari medicin experi smart system conclu reach concern design futur automat inform system
72,73.0,effect inform retriev method,,,result fifti differ retriev method appli three experi retriev system subject analysi suggest statist deci theori analysi valid previou propo measur effect demonstr sever desir properti examin wide rang data relat one metric provid clear gener assess current state retriev art
73,74.0,manageri cost account technic inform center,,,purpo paper describ research project conduct technic center test hypothesi theoret sound manageri cost account system design meet specif characterist technic inform center revi innov system util enterpri comput cost system develop oper three month period test hypothesi result studi indic effect manageri cost account possibl technic inform center relev cost inform gener period measur oper perform center product process summari data report regularli manag present paper
74,75.0,medlar report evalu oper effici,,,comprehen program evalu perform medlar conduct nation librari medicin one thousand nine hundr sixti six one thousand nine hundr sixti seven report describ methodolog use present summari princip result conclu recommend
75,76.0,biom literatur analysi journal articl collect radiat cell biologist,,,author journal refer card one thousand nine hundr sixti five one thousand nine hundr sixti six analyz accord three interest pattern total collect one thousand four hundr sixti nine articl titl potenti use set ii subset concern research special iii subset articl defin use pattern journal rank frequenc use scatter diagram drawn pattern ii larg resembl pattern obtain count citat basic journal count public select research pattern iii wide scatter conclud access diver journal need research suppli new idea diver read reflect adequ citat count indirect mean current content use author current awar purpo build card file gener eighti eight articl scatter diagram indic decrea scatter predict use thirti import journal collect includ eighti titl rank pattern
76,77.0,effect automat gener weight link mechan index,,,work concern statist evalu output medico automat index method describ statist test design primarili examin valid assumpt form basi algorithm develop automat comput weight automat gener link index term modifi evalu also includ comparison output gener full text process abstract summari articl
77,78.0,line access inform nsf aid index catalog,,,ad document collect index choo repres make evid content document relat document alreadi collect toward end negoti search facil nsf make possibl index control retriev inform collect data base use tool beyond avail tradit bibliograph catalog design philosophi nsf offer framework guid index allow freedom retriev data judg help make index deci exampl indic index might use facil also show display format command languag promot interact discu direct toward index clear facil would equal use searcher
78,79.0,comput select keyword use word frequenc analysi,,,statist base method automat identifi keyword machin readabl text develop produc keyword list agr good composit list produc panel human index list produc five statist criterion previou suggest also well list produc individu panel member method make use document word occurr frequenc corpu rel occurr frequenc measur word import statist criterion compar perform human index use rank correl statist simpl word count find superior four previou suggest criterion make use corpu rel occurr frequenc test conduct nineteen document deal subject inform scienc total sixti six zero word occurr seventeen index repr eight differ inform center particip experi
79,80.0,graphic catalog card index,,,improv access mainten art slide unit state militari academi librari west point model card graphic imag slide design pertin identifi inform display directli black white opaqu photo also key punch card serv ampl comparison refer previou handl slide produc subject arrang permut index book form later permit access approach form geograph area name time origin artist school style etc ad advantag common kind graphic collect detail estim cost photo reproduct origin card variou kind copi comput time materi list futur benefit consist unifi catalog system graphic object dissemin kind inform network structur indic major goal
80,81.0,index consist qualiti,,,measur index consist develop base concept fuzzi set assign higher consist valu index agr import term measur qualiti index work exhaust index also propo experi data index consist present certain categori index consist qualiti exhaust valu compar analyz analysi index exhaust lead conclu increa inform result group index process analog bradford law inform scatter lotka law scientif product zipf law vocabulari distribut
81,82.0,interindex consist hobgoblin,,,often assum amount interindex consist experienc give method index somehow indic qualiti index explor assumpt two hypoth state concern possibl connect interindex consist index qualiti specif counter exampl exhibit show hypoth invalid although mathemat analysi counterexampl yield certain insight gener relationship interindex consist success retriev subtl might expect conclud equat describ relationship deriv measur inter index consist littl mean clue index qualiti
82,83.0,cost analysi document surrog literatur review,,,state art literatur review cost classif catalog index abstract includ find data specif cost avail literatur gener find lack point view accuraci complet consist avail
83,84.0,independ agreement resolv disagr answer provid document,,,eighti two document thirti question document relat area compar find answer provid document document answer question infer two judg document expert make comparison independ discu disagr attempt resolv case posit judg first ask indic answer infer document passag discu depend detail case gener resolut procedur use resolv disagr whether document answer provid reduc familiar kind scientif disagr passag mean statement correct infer correct seem well treat relev judgement subject open ration discu
84,85.0,inform scienc toward develop true scientif disciplin,,,point inform scienc consid true scienc similar physic chemistri must set concept analyt express appli flow inform gener way sever previou paper author colleagu describ model gener inform system wide perhap univ applic paper elabor model indic rang applic sever fundament quantiti defin specif way allow quantif point paper model basi develop true scienc inform necessari requir scienc use model definit true scienc goal requir curriculum inform scienc thu establish within context inform defin data valu deci make quantit measur inform obtain relat inform specif observ action measur physic
