,.I,.T,.A,.W,.B
47,48.0,,,inform retriev still new experiment field line distinguish research practic often difficult even imposs draw howev actual center research inform retriev countri locat support govern busi univers librari inform retriev special research disciplin say emerg still amalgam skill field mathemat engin librari scienc word tell inform retriev research,
48,49.0,,,resourc spend appli inform retriev techniqu physic medic scienc inform retriev use natur scienc social scienc human problem encount subject area solv characterist subject area necessit develop new inform retriev techniqu prospct futur machin control area,
49,50.0,,,use tradit classif scheme ddc udc lc etc inform retriev system scheme appear suit machin use appli classif scheme irrelev research show subject classif knowledg complet unnecessari machin system new scheme devi appear suit machin use,
50,51.0,,,coordin index util descriptor control languag use descriptor construct index descriptor use search inform retriev system,
51,52.0,,,characterist medlar medic literatur analysi retriev system project undertaken nation librari medicin index current medic journal relat index system index medicu major compon medlar project major oper detail,
52,53.0,,,comput use medic scienc diagnost clinic record keep purpos program autom tri hospit result problem encount use autom medicin purpos autom system clinic record use possibl use comput medicin,
53,54.0,,,effect librarian autom note new type technolog use librari effect statu posit function librarian chang contempl initi introduc autom educ librarian,
54,55.0,,,aim object medic literatur analysi retriev system medlar medlar oper possibl applic medlar futur inform retriev system,
55,56.0,,,standard method find inform today librari use alphabet arrang card catalog classifi catalog base classif system dc lc system modifi use autom inform retriev,
56,57.0,,,catalog either arrang alphabet arrang classif number lc entri print readabl languag ultim import individu look inform definit author titl subject phrase languag probabl english case mind lc entri subject head use manner autom system,
57,58.0,direct librari network,avram mccallum,bibliograph control marc review capabl key onlin system bring interdepend among librari servic center mediat larg util process distribut data develop basic network structur among librari unit state independ develop major network bring problem standard coordin author point technolog lead toward central autom librari servic new develop push toward decentr coordin requir avoid fragment new environ,"(JASIS, Vol. 31, No. 6, November 1980, pp. 438-444)"
58,59.0,perform test book index inform retriev system,bennion,retriev perform book index measur term abil direct user select text materi whose ident locat know method requir human searcher base search strategi actual passag book rather test queri natur contriv circumv need relev judgement still yield perform indic correspond approxim recal precis ratio larg document retriev system evalu preliminari applic method subject index two major encyclopedia show one encyclopedia appar superior find discrimin abil retriev perform method present best suit compar test sinc abil yield absolut reproduc measur yet establish,"(JASIS, Vol. 31, No. 4, July 1980, pp. 264-270)"
59,60.0,combin use bibliograph coupl cocit document retriev,bichteler eaton,linkag similar measur take account bibliograph coupl document cocit cite cite paper produc improv document retriev measur base bibliograph coupl test collect consist one thousand seven hundr twelv paper whose relev specif queri judg user evalu effect use cocit data calcul queri two measur similar relev paper everi paper retriev paper sort similar measur produc two order list compar result predict relev partial relev non relev user evalu paper overal chang bibliograph coupl measur linkag similar measur repres introduct cocit data result good retriev perform,"(JASIS, Vol. 31, No. 4, July 1980, pp. 278-282)"
60,61.0,search bias larg interact document retriev system,blair,way individu construct modifi search queri larg interact document retriev system subject systemat bias similar demonstr experi judgement uncertainti bias share naiv sophist subject caus inquir search document larg interact system construct modifi queri ineffici search algorithm suggest help inquir avoid effect bias,"(JASIS, Vol. 31, No. 4, July 1980, pp. 271-277)"
61,62.0,fuzzi request approach weight boolean search,bookstein,articl concern problem permit patron repres rel import variou index term boolean request retain desir properti boolean system charact classic boolean system review relat notion fuzzi set fuzzi set concept form basi concept fuzzi request weight assign index term ther properti system discuss show system retain manipul tradit boolean request,"(JASIS, Vol. 31, No. 4, July 1980, pp. 240-247)"
62,63.0,featur comparison hous inform retriev system commerci search servic,boyle miller,commerci avail onlin search use standard compar search evalu hous inform system base automat index system featur identifi evalu basi use variou kind search eas implement influenc differ user type specif applic common featur commerci system onlin instruct user specifi print format dictionari display truncat see unnecessari impract hous system design hous system therefor detald consider must give applic oper environ real user need commerci system serv use standard compar evalu one must care attempt duplic blindli hous,"(JASIS, Vol. 31, No. 5, September 1980, pp. 309-317)"
63,64.0,measur inform scienc object subject metric space,brookes,argu inform scienc distinguish physic object document space perspect subject inform space two space like map landscap systemat distort howev transform easili make two space distinguish transform omit get unhelp physic solut inform problem,"(JASIS, Vol. 31, No. 4, July 1980, pp. 248-255)"
64,65.0,model cluster search base classif,croft,use document cluster suggest effici file organ document retriev system possibl use inform relationship document effect system e abil distinguish relev non relev document may also improv paper probabilist model cluster search base queri classif describ model test retriev experi indic effect heurist cluster search cluster search base model also effect full search everi document compar queri effici aspect implement model discus,"(Inform. Systems, Vol. 5, No. 3, 1980, pp. 189-195)"
65,66.0,technolog librari inform network,epstein,current onlin librari network technolog describ includ physic function aspect network three type network distinguish search servic e g sdc lockhe custom servic provid bibliograph file e g oclc inc rlin servic center e g nelinet incolsa predict technolog evolv servic provid outsid librari directli user home offic,"(JASIS, Vol. 31, No. 6, November 1980, pp. 425-437)"
66,67.0,use titl automat document classif,hamill zamora,experiment comput program develop classifi document accord eighti section five major section group chemic abstract ca program use pattern recognit techniqu supplement heurist train phase word pre classifi document select probabl occurr word section ca comput store refer dictionari classif phase match word document titl dictionari assign section number document use weight deriv probabl dictionari heurist techniqu use normal word variant plural past ten gerund train phase classif phase dictionari lookup techniqu supplement analysi chemic nomenclatur term compon word root influenc section document assign program perform human consist evalu compar program result publish section ca conduct experi peopl experienc assign document ca section program assign approxim seventi eight document correct major section group ca sixti seven correct section cross refer rate one hundr document per second,"(JASIS, Vol. 31, No. 6, November 1980, pp. 396-402)"
67,68.0,brief commun,harding willett,automat classif procedur use inform retriev deriv cluster document intermedi similar matrix comput involv compar document collect other recent suggest mani comparison specif document term common may avoid mean uys invert file document collect commun show approach effect reduct number interdocu comparison document index limit number index term exhaust index use mani document pair compar sever time comput great convent approach use gener similar matrix,"(JASIS, Vol. 31, No. 4, July 1980, pp. 298-299)"
68,69.0,applic minicomput thesauru construct,kazlauskas holt,use minicomput variou phase creat thesauru nation inform center special educ materi nicsem databas describ minicomput use collect edit correct candid thesauru term use minicomput eas process group term file similar concept facilit gener product use vocabulari review term structur syndet relat indic assign code identif number alter easili design phase reflect restructur requir thesauru term alreadi machin readabl form simpl prepar print program provid permut alphabet hierarch chart format term display overal use minicomput facilit initi thesauru entri develop reduc cleric effort editori staff decis overal process time,"(JASIS, Vol. 31, No. 5, September 1980, pp. 363-368)"
69,70.0,adapt design decis support system,keen,decis support system dss repres concept role comput within decis make process term becom ralli cri research practition manag concern manag scienc manag inform system field becom unnecessarili narrow focu mani ralli cri term well defin writer ds simpli mean interact system use manag other key issu support rather system focu understand improv decis process ds design use avail suitabl technolog research view dss subfield mi other regard extens manag scienc techniqu former defin decis support provid manag access data latter give access analyt model key argument paper term ds relev situat final system develop adapt process learn evolut design strategi must focu get finish differ manag scienc data process approach research issu ds center around adapt evolut includ manageri learn represent task user behavior design architectur strategi get start,"(Database, Vol. 12, No. 1-2, Fall 1980)"
70,71.0,automat method extract signific phrase scienfif technic document,maeda momouchi sawamura,new method describ extract signific phrase titl abstreact scientif technic document method base upon text structur analysi use rel small dictionari dictionari construct base knowledg concept field scienc technolog lexic knowledg signific phrase compon item may use differ mean among field text analysiu approach appli select signific phrase substanti semant inform carrier content abstract result experi five set document show signific phrase effect extract case number everi document process time fairli satisfactori inform represent document partli use method discus relat construct document inform retriev system,"(Info. Proc. & Management, Vol. 16, No. 3, 1980, pp.119-127)"
71,72.0,answer passag retriev text search,o connor,passag retriev alreadi oper lawyer advantag output form opver refer retriev econom feasibl previou experi passag retriev scientist demonstr recal fals retriev rate good well present refer retriev servic present experi involv great varieti form retriev question addit search word select independ two differ peopl retriev question search word select combin comput procedur use passag retriev produc averag recal ratio seventi two sixti seven respect two selector fals retriev rate except one predict difficult question respect thirteen ten fals retriev sentenc per answer paper retriev,"(JASIS, Vol. 31, No. 4, July 1980, pp. 227-239)"
72,73.0,partial match retriev use index descriptor file,pfaltz berman cagley,paper describ practic method partial match retriev larg data file binari code word call descriptor associ record file record descriptor use form deriv descriptor block sever record serv index block whole henc name index descriptor file first structur file describ simpl effici retriev algorithm present expect behavior term storag access analyz detail two differ file creation procedur sketch number way file organ tune particular applic suggest,"(Commun. ACM, Vol. 23, No. 9, September 1980, pp. 522-528)"
73,74.0,cooper competit among librari network,robinson,recenti technolog advanc success oclc inc lead emerg three addit nonprofit librari network research librari inform network rlin research librari group inc univers toronto librari autom system utla washington librari network wln paper examin econom technolog factor affect evolut network also explor role state region multist network broker oclc servic competit cooper natur network relationship major theme discus,"(JASIS, Vol. 31, No. 6, November 1980, pp. 413-424)"
74,75.0,integr understand,schank lebowitz birnbarim,new type natur languag parser present idea behind parser map input sentenc deep form represent mean infer appropri parser distinct entir understand system use integr concept infer script plan knowledg aid par furthermor attempt par everyth see rather determin interest concentr ignor rest,"(Am. J. of Computational Linguistics, Vol. 6, No. 1, January-March 1980, pp. 13-30)"
75,76.0,librari network resourc share unit state histor philosoph overview,stevens,paper discus origin librari network trace develop unit state late one thousand nine hundr sixti present concept resourc share particular attent inter librari loan program cooper acquisit storag materi examin relationship librari network particular attent give question two major compon librari cooper tend separ might becom close integr,"(JASIS, Vol. 31, No. 6, November 1980, pp. 405-412)"
76,77.0,normal titl retriev,takamatsu fujita nishida,paper present method normal english titl retriev titl express noun phrase noun claus convert function express par retriev reason recal rate well high precis rate function express transform predic governor form normal standard form therefrom variou item extract record hierarch tree like invert file order keep recal rate reason valu sever retriev stage implement base key term case label match retriev control precis specif case label key term,"(Info. Proc. & Management, Vol. 16, No. 3, 1980, pp. 155-167)"
77,78.0,cascad atn grammar,woods,gener notion atn grammar call cascad atn catn prescrib catn permit decomposit complex languag understand behavior sequenc cooper atn separ domain respons stage call atn transduc take input output previou stage paper includ extens discjuss principl factor conceptu factor reduc number place give fact need repres grammar hypothesi factor reduc number distinct hypothes consid par,"(Am. of Computational Linguistics, Vol. 6, No. 1, January-March 1980)"
78,79.0,algorithm process partial match queri use word fragment,alagar,algorithm give process partial specifi queri compress databas system propos method handl effect queri use either whole word word fragment languag element method compar critic evalu term design retriev cost analys show method exploit interdepend fragment well relev fragment record file maximum design cost least retriev cost,"(Inform. Systems, Vol. 5, No. 4, April 1980, pp. 323-332)"
79,80.0,gener formul bradford distribut graph orient approach,asai,detail analysi eight previous publish mathemat model gener formul bradford distribut deduc follow log x c b ratio cumul frequenc articl total number articl x ratio rank journal total number journal paramet b c slope intercept shift straight line log rank respect eight model special case gener formul one five type formul order estim three unknown paramet statist method use root weight squar error propos compar experi use eleven databas suggest fifth type formul three unknown paramet best fit observ data experi show delet droop data lead accur valu paramet less error,"(JASIS, Vol. 32, No. 2, March 1981, pp. 113-121)"
80,81.0,lexic problem larg distribut inform system,berkovich shneiderman,lexic problem larg inform system creat necess handl great number name interrel lexic problem cover complet concept data dictionari mostli concern databas scheme design rather execut oper paper introduc view lexic subsystem separ compon inform system architectur deal linguist control function concern lexic problem local network environ lexic suybsystem special effici organ program packag play role linguist filter broad sen lexic incorrect queri promot integr databas inform retriev system facilit creation local inform system hope lexic subsystem becom product larg especi distribut inform system,"(Information Processing & Management, Vol. 16, February 1980, pp. 259-267)"
81,82.0,relat model inform retriev,crawford,relat model receiv increas attent past decad advantag includ simplic consist sound theoret basi articl natur view inform retriev relat demonstr relat model present relat organ bibliograph databas show notion normal introduc first second third fourth normal form demonstr relat languag discus includ relat calculu relat algebra sequel numer exampl pertin inform retriev present relat languag advantag relat approach inform retriev note,"(JASIS, Vol. 32, No. 1, January 1981, pp. 51-64)"
82,83.0,electron inform interchang offic environ,desousa,paper describ architectur approach provid inform exchang across broad spectrum user applic offic autom offer architectur describ herein current implement exist ibm product architectur provid basi document interchang capabl product ibm five thousand five hundr twenti administr system ibm system three hundr seventi distribut offic support system disoss ibm displaywrit system specif describ document distribut architectur associ data stream other gener overview architectur oppos detail technic descript provid architectur describ protocol interchang applic process address specif user interfac document distribut architectur util sna data transmiss commun control facil,"(IBM Systems Journal, Vol. 20, No. 1, 1981, pp. 4-22)"
83,84.0,use automat relev feedback boolean retriev system,dillon desper,techniqu describ automat reformul boolean queri base patron relev judgement initi retriev preval measur deriv term appear retriev set document reflect term distribut among relev non relev document measur use guid construct boolean queri subsequ retriev illustr techniqu seri test describ applic small data base experiment environ result compar favour feedback employ smart type system extens test suggest valid techniqu,"(Journal of Documentation, Vol. 36, No. 3, September 1980, pp. 197-208)"
84,85.0,interact natur languag artifici system donau project,guida somalvico,paper intend propos new methodolog approach concept develop natur languag understand system new contribut support design implement experiment donau gener purpos domain orient natur languag understand system develop present run milan polytechn artifici intellig project system base two level modular architectur intend overcom lack flexibl gener often point mani exist system facilit exchang result actual experi differ project horizont level allow independ parallel develop singl segment system syntact analys inform extractor legal control vertic level ensur possibl chang enlarg redefin definit semant domain particular version system orient special simpl increment user orient way paper gener architectur system mode oper segment illustr detail linguist model knowledg represent par algorithm describ illustr mean select exampl perform evalu system applic version data base inquiri report discus promis direct futur research present conclus,"(Inform. Systems, Vol. 5, NO. 4, February 1980, pp. 333-344)"
85,86.0,approxim string match,hall dowling,approxim match string review aim survey techniqu suitabl find item databas may spell mistak error keyword method find classifi either equival similar problem equival problem see readili solv use canon form similar problem differ measur survey full descript well establish dynam program method relat approach use probabl likelihood search approxim match larg set use differ function see open problem still though sever promis idea suggest approxim match error correct par briefli review,"(Computing Surveys, Vol. 12, No. 4, December 1980, pp. 381-402)"
86,87.0,use onlin microfich catalog technic servic retriev bibliograph data,hayes borko,prototyp system creat integr microfich catalog onlin comput system bibliograph control cost oper data collect analyz system permit econom microfich storag catalog record would feasibl compar onlin magnet disk storag experiment test demonstr feasibl onlin microfich catalog system use librari technic servic retriev bibliograph data primari result project creation complet oper facil includ equip softwar procedur data base necessari demonstr system second set result deriv experiment use system evalu cost time variou oper cost effect onlin microfich catalog demonstr,"(Information Processing and Management, Vol. 16, No. 6, February 1980, pp. 277-289)"
87,88.0,natur languag access inform system evalu studi accept end user,krause,question ask whether feasibl use subset natur languag queri languag data base actual applic use question answer system user specialti languag usl method evalu natur languag base inform system discuss result error languag structur evalu suggest form gener architectur applic system use subset german queri languag,"(Inform. Systems, Vol. 5, No. 4, May 1980, pp. 297-318)"
88,89.0,consider relat cost effect onlin servic librari,lancaster,one thousand nine hundr seventi eight collier present hypothet data econom aspect use onlin servic compar subscript print servic librari collier view econom onlin search seem misleadingli pessimist one look cost effect compar two mode access search analysi combin cost effect aspect e cost effect analysi would give complet differ pictur two way cost data present grossli unfair onlin mode access use work contain correct inform regard onlin print servic librari,"(Aslib Proceedings, 33(1), January 1981, pp. 10-14, printed in Great Britain)"
89,90.0,co citat context analysi structur paradigm,small,mani inform scientist concern oper document retriev system serv scientist variou field scientist serv system often member call invis colleg group scientist frequent commun one anoth involv highli special subject matter often group consid share intellectu perspect regard subject matter sometim refer paradigm purpos paper show possibl identifi paradigm use techniqu citat analysi operation notion paradigm consensu structur concept field suppos obtain set paper pertain topic alreadi know someth field read text mark passag certain specif concept use discus exampl might find concept design appear sub set paper suppos identifi paper concept b use togeth paper certain specifi manner clearli concept combin natur way author combin concept b way though predomin mode may emerg set n concept structur give total admiss combin concept take two n time frequenc give combin occur sampl paper topic measur degre consensu regard particular concept combin within corpu concept take two time structur display graph concept node relat repres line arc connect node definit concept structur similar semant network artifici intellig except approach measur consensu weight arc graph,"(Journal of Documentation, Vol. 36, No. 3, September 1980, pp. 183-196)"
90,91.0,cocit author retriev onlin experi social indic literatur,white,one mode onlin retriev scisearch social scisearch involv enter pair author name believ jointli cite subsequ writer retriev paper cocit occur six pair form name four author promin social indic movement bauer duncan land sheldon document four specifi think pair duncan land would retriev paper indic type data would integr path analyt causal model pair seem like retriev gener social indic literatur two hundr nineti eight retriev paper confirm expectatt find one hundr twenti one paper gener cite social indic si document input author frequent si languag titl sign content also identifi paper si movement one hundr seventi seven paper retriev duncan land gener cite causal model document input pair path analyt natur expect rel harder first group paper although two group akin formal link citat certain paper addit result paper cite least three input author tend overview si movement,"(JASIS, Vol. 32, No. 1, January 1981, pp. 16-21)"
91,92.0,databas onlin statist one thousand nine hundr seventi nine,,number databas record contain databas onlin use databas increas dramat past sever year bring one thousand nine hundr seventi nine total bibliograph bioliograph relat natur languag databas five hundr twenti eight five hundr twenti eight databas contain one hundr forti eight million record four million onlin search conduct via major u canadian system one thousand nine hundr seventi nine,"(Bulletin of ASIS, Vol. 7, No. 2, December 1980, pp. 27-29)"
92,93.0,experi local metric feedback full text retriev system,attar fraenkel,method iter search use result one iter search formul next iter search appli full text databas consist two thousand four hundr document one three thousand zero text word hebrew arama iter method consist cluster document return iter use weight proxim frequenc simultan process produc searchonym term synonym keyword context singl queri augument replac keyword searchonym via manual automat feedback lead formul next iter search result experi consist earlier small scale experi english databas indic contrast global cluster size matric limit applic small databas improv doubt local metric method appear well suit arbitrarili larg databas improv precis recal simultan experi use test queri run even large databas make collect evid perform method,"(Information Processing & Management, Vol. 17, No. 3, 1981, pp. 115-126)"
93,94.0,microcomput altern inform handl refl,bivins palmer,refl microcomput base system data retriev librari environ problem inform retriev discus theoret point view follow analysi refer process data therebi gather lead descript refl term hardwar softwar refl prototyp system present current function test environ exampl data contain system use present futur consider specul version system conclud paper,"(Information Processing & Management, Vol. 17, No. 2, 1981, pp. 93-101)"
94,95.0,comparison two system weight boolean retriev,bookstein,major defici tradit boolean system inabl repres vari degre document may write subject articl isol number criterion meet boolean system gener weight capabl proven one weight rule satisfi condit associ fuzzi set theori weight scheme satisfi properti associ boolean algebra well probabilist weight introduc altern approach two system compar limit zero one weight system consid converg tradit boolean retriev,"(JASIS, Vol. 32, No. 4, July 1981)"
95,96.0,threshold valu boolean retriev system,buell kraft,sever paper appear analyz recent develop problem process document retriev system queri express boolean express purpos paper continu analysi shall show concept threshold valu resolv problem inher relev weight moreov shall explor possibl evalu mechan retriev document base fuzzi set theoret consider,"(Information Processing & Management, Vol. 17, No. 3, 1981, pp. 127-136)"
96,97.0,model weight retriev system,buell kraft,good deal work inform retriev system continu weight assign index term describ record databas queri term describ user queri recent articl analyz retriev system continu weight either type boolean structur queri also suggest criterion system ought satisfi record evalu mechan partial satisfi criterion offer care analysi base gener discret weight also look weight entir differ approach involv threshold gener improv evalu mechan seem fulfil large subset desir criterion previou mechan new mechan allow user attach threshold queri term,"(JASIS, Vol. 32, No. 3, May 1981, pp. 211-216)"
97,98.0,translat comput interfac end user oper heterogen retriev system design,marcus reintjes,onlin retriev system may difficult use especi end user heterogen complex investig concern concept translat comput interfac mean simplifi access oper heterogen bibliograph retriev system databas interfac allow user make request common languag request translat interfac appropri command whatev system interrog system respons may also transform interfac common form give user thu network differ system make look like singl virtual system user interfac also provid instruct search aid user philosophi design implement experiment interfac name conit describ,"(JASIS, Vol. 32, No. 4, July 1981, pp. 287-303)"
98,99.0,translat comput interfac end user oper heterogen retriev system ii evalu,marcus reintjes,evalu concept translat compuyt interfac simplifi oper multipl heterogen onlin bibliograph retriev system undertaken experiment retriev system name conit build test control condit inexperienc end user detail analysi experiment usag show user abl master interfac oper suffici well find relev document refer success attribut part simpl command languag adequ onlin instruct simplifi natur languag keyword stem approach search conclud oper interfac type studi provid increas usabl exist system cost effect manner especi searcher furthermor advanc interfac base improv instruct autom search strategi techniqu could enhanc retriev effect wide class user,"(JASIS, Vol. 32, No. 4, July 1981, pp. 304-317)"
99,100.0,interfac computer retriev system micrograph retriev system,mcmurdo,paper note benefit accru interact computer retriev system micrograph retriev system review current state autom micrograph retriev technolog conclus combin advanc commun technolog sophist index input librari inform scientist new gener autom micrograph devic may constitut line document retriev system futur,"(Journal of Information Science I, , , 1980, pp. 345-349)"
100,101.0,parallel comput inform retriev,salton bergmark,convent inform retriev process larg base data movement pointer manipul integ arithmet refin retriev algorithm may addit benefit substanti comput power present studi number parallel process method describ serv enhanc retriev servic convent retriev environ parallel list process parallel search facil great interest advanc system use array processor also prove benefici variou inform retriev process examin evid give demonstr use parallel process fast comput facil inform retriev,"(In Lecture Notes in Computer Science, No. III, W. Handler, Ed., Springer Verlag, Berlin-New York, 1981, pp. 328-342)"
101,102.0,measur term import automat index,salton wu yu,frequenc characterist term document collect use indic term import content analysi index purpos particular rare frequent term normal believ less effect medium frequenc term recent automat index theori devi use term frequenc characterist also relev properti term major term weight theori first briefli review term precis term util weight base occurr characterist term relev oppos nonrelev document collect introduc method suggest estim relev properti term base overal occurr characterist collect final experiment evalu result show compar weight system use term relev properti convent frequenc base methodolog,"(JASIS, Vol. 32, No. 3, May 1981, pp. 175-186)"
102,103.0,ndx one hundr electron file machin offic futur,slonim macrae mennie diamond,paper describ design implement electron file machin machin capabl store larg number unstructur document way particular document may easili quickli retriev function distribut architectur permit implement system mixtur hardwar softwar,"(Computer, Vol. 14, No. 5, May 1981, pp. 24-36)"
103,104.0,select good search term,rijsbergen harper porter,paper tackl problem one might select search term use relev feedback give search term queri search term extract maximum span tree connect term index term vocabulari number differ span tree gener varieti associ measur retriev effect differ span tree show approxim effect measur term precis recal retriev test do three differ test collect,"(Information Processing & Management, Vol. 17, No. 2, 1981, pp. 77-91)"
104,105.0,index consist qualiti effici,rolling,index qualiti determin whether inform content index document accur repres index effect measur whether index document correctli retriev everi time relev queri measur criterion cumbersom costli data base produc therefor prefer inter index consist measur index qualiti effect present articl ass valid substitut variou environ,"(Information Processing & Management, Vol. 17, No. 2, 1981, pp. 69-76)"
105,106.0,text passag retriev base colon classif retriev perform,shepherd,set experi conduct determin suitabl colon classif foundat autom analysi represent retriev primari inform full text document primari inform inform embodi text document oppos secondari inform gener form abstract tabl content index full text databas creat two subject area queri solicit specialist area autom full text index system along four autom passag retriev system creat test variou featur colon classif two boolean base system one simpl word occurr system creat order compar retriev result type system common use system retriev perform measur use recal precis mean expect search length reduct factor overal find colon classif base system perform significantli good system,"(Journal of Documentation, Vol. 37, No. I, March 1981, pp. 25-35)"
106,107.0,user respons subject control bibliograph retriev system,tague,studi carri relationship vocabulari user queri vocabulari document relev queri valu ad document descript record retriev system keyword previou queri document prove use two test databas incorpor user queri keyword implement school librari inform scienc univers western ontario cluster document via titl user keyword statist analysi titl user keyword co occurr retriev test use examin effect ad keyword result show impract procedur oper set indic valu analys sampl data develop mainten keyword dictionari thesaurus,"(Information Processing & Management, Vol. 17, No. 3, 1981, pp. 149-159)"
107,108.0,program machin mediat search,toliver,techniqu onlin instruct assist bibliograph data base searcher call individu instruct data access iida develop drexel univers iida assist searcher provid feedback base real time analysi search perform extens help facil draw analysi avail user much project experiment work describ elsewher concern process search behavior searcher paper larg address project comput system develop subcontract franklin institut scienc inform servic,"(Information Processing & Management, Vol. 17, No. 2, 1981, pp. 61-68)"
108,109.0,author cocit literatur measur intellectu structur,white griffith,show map particular area scienc case inform scienc do use author unit analysi cocit pair author variabl indic distanc analysi assum two author cite togeth close relationship raw data cocit count drawn onlin social scisearch social scienc citat index period one thousand nine hundr seventi two one thousand nine hundr seventi nine gthe result map show one identifi author group akin school inform scienc two locat group respect three degre central peripher author within group four proxim author within group across group boundari border author seem connect variou area research five posit author respect map axe arbitrarili set span diverg group order aid interpret cocit analysi author offer new techniqu might contribut understand intellectu structur scienc possibl area extent area reli serial public techniqu establish author well document effect unit analyz subject specialti,"(JASIS, Vol. 32, No. 3, May 1981, pp. 163-171)"
109,110.0,progress document word process introduct apprais,whitehead,offic futur offic technolog word process electron mail electron commun converg inform manag term includ current list buzz word use describ current activ offic technolog area high level invest factori plant ever increas fight improv product autom dull routin job usual quot compar extrem low invest improv autom equal tediou routin job offic environ invest factori quot ten time great per employe offic howev chang rapidli invest larg scale alreadi take place manhi area present day inflat bite hard forc mani compani organ take much close look offic oper,"(Journal of Documentation, Vol. 36, No. 4, December 1980, pp. 313-341)"
110,111.0,document cluster use invert file approach,willett,autom document cluster procedur describ requir use inter document similar matrix independ order document process procedur make use initi set cluster deriv certain term index vocabulari use characteris document file retriev effect obtain use cluster file compar obtain serial search use singl linkag cluster method,"(Journal of Information Science, 2, 1980, pp. 222-231)"
111,112.0,fast procedur calcul similar coeffici automat classif,willett,fast algorithm describ compar list term repres document automat classif experi speed procedur aris fact non zero valu coefficic give document identifi togeth use invert file term document collect complex run time algorithm compar previous describ procedur,"(Information Processing & Management, Vol. 17, No. 2, 1981, pp. 53-60)"
